'a'a'a 啊啊啊
'she'xing'dou'she 蛇行斗折
'she'xing'lin'qian 蛇行鳞潜
'she'xing'qiang 蛇形枪
'she'xing'shu'bu 蛇行鼠步
'she'xing'xing'zhu'bian'hao 蛇形行主编号
'she'xin'ji'lv 设心积虑
'she'yan'qiu'hong 社燕秋鸿
'she'yan'tuo'yi 设言托意
'she'yao'wu'dou 折腰五斗
'she'ying 拾萤
'she'ying'bei'gong 蛇影杯弓
'she'ying'han'sha 射影含沙
'she'yin'pan'jie 蛇蚓蟠结
'she'yi'po'di 设疑破敌
'she'yu'tun'xiang 蛇欲吞象
'she'yu'zhi'tian 射鱼指天
'she'zhang 蛇杖
'she'zhang'ju'cuo 设张举措
'she'zhan'lian'hua 舌绽莲花
'she'zhan'qun'ru 舌战群儒
'she'zhe'bing'ye 舌者兵也
'she'zheng'cong'xie 舍正从邪
'she'zhen'gong 射针弓
'she'zheng'zhe 摄政者
'she'zhe'xin'chang'pin 奢者心常贫
'she'zhi 设置
'she'zhi'xian'jing 设置陷阱
'she'zhi'xun'jie 蛇之迅捷
'she'zhi'ze'cang 舍之则藏
'she'zhuo'liang'chen 设棁良辰
'she'zhuo'zhi'chen 设棁之辰
'she'zhu'qiao'huan 蛇珠雀环
'she'zi'she'sun 蛇子蛇孙
'she'zuan'xin'bing 蛇钻心病
'shi'an'fang'zhang 食案方丈
'shi'ba'ban'bing'qi 十八般兵器
'shi'ba'ban'wu'yi 十八般武艺
'shi'ba'ceng'di'yu 十八层地狱
'shi'ba'di'yu 十八地狱
'shi'ba'gao'xian 十八高贤
'shi'bai'cheng'hei 视白成黑
'shi'bai'chui'cheng 事败垂成
'shi'bai'li'zhe'su'chong'liang 适百里者宿舂粮
'shi'bai'nai'cheng'gong'zhi'mu 失败乃成功之母
'shi'bai'shi'cheng'gong'zhi'mu 失败是成功之母
'shi'bai'wei'cheng'gong'zhi'mu 失败为成功之母
'shi'bai'zhe'cheng'gong'zhi'mu 失败者成功之母
'shi'ba'luo'han 十八罗汉
'shi'ban'gong'bai 事半功百
'shi'ban'gong'bei 事半功倍
'shi'ban'gong'bei'wan 事半功倍丸
'shi'bao 尸爆
'shi'bao 石堡
'shi'bao'gao'ta 石堡高塔
'shi'bao'ma'teng 士饱马腾
'shi'bao'pu'bu 石堡瀑布
'shi'bao'shi'xiao 实报实销
'shi'bao'yao'sai 石堡要塞
'shi'ba'xiao'jing 石坝小径
'shi'ba'xue'shi 十八学士
'shi'ba'zhong'di'yu 十八重地狱
'shi'bei'gong'ban 事倍功半
'shi'bei'hu 石碑湖
'shi'ben'sheng'yi 蚀本生意
'shi'bi 石臂
'shi'bian 尸变
'shi'bian'bu'er'han'shu 时变布尔函数
'shi'bian'can'shu 时变参数
'shi'bian'cong'yi 识变从宜
'shi'bian'ju'qian'xie 石鞭巨钳蝎
'shi'bian'lao'xin 食辨劳薪
'shi'bian'lue'duo'zhe 石鞭掠夺者
'shi'bian'lue'duo'zhe'zhi'ci 石鞭掠夺者之刺
'shi'bian'shi'shou 时变是守
'shi'bian'shuang'ren'dao 石边双刃刀
'shi'bian'wu'hua 十变五化
'shi'bian'xie'zhi'ci 石鞭蝎之刺
'shi'bian'yu'bao 示贬于褒
'shi'bian'yu'bao 示贬於褒
'shi'bian'zhi'ren'xin 事变知人心
'shi'bian'zhi'ying 时变之应
'shi'biao 师表
'shi'bi'chu'ci 实逼处此
'shi'bi'chu'ci 实偪处此
'shi'bi'di 史毕迪
'shi'bie'san'ri 士别三日
'shi'bie'san'ri'dang'gua'mu'xiang'dai 士别三日当刮目相待
'shi'bie'san'ri'gua'mu'xiang'dai 士别三日刮目相待
'shi'bie'xing 识别型
'shi'bi'fang'zhang 食必方丈
'shi'bi'gong'qin 事必躬亲
'shi'bing'jiu'tong 十病九痛
'shi'bi'shi'zhi 使臂使指
'shi'bi'zhu 失匕箸
'shi'bo'qi 示波器
'shi'bo'you'tu 实蕃有徒
'shi'bu 石布
'shi'bu'ba'xiu 誓不罢休
'shi'bu'bing'li 势不并立
'shi'bu'chong'chang 食不充肠
'shi'bu'chong'ji 食不充饥
'shi'bu'chong'kou 食不充口
'shi'bu'chong'tan 室不崇坛
'shi'bu'chong'wei 食不重味
'shi'bu'cong'shi 十部从事
'shi'bu'dang'yi 十不当一
'shi'bu'de 十不得
'shi'bu'de'yi 势不得已
'shi'bu'de'yi 十不得一
'shi'bu'er'jia 市不二价
'shi'bu'er'wei 食不二味
'shi'bu'fang'cao 十步芳草
'shi'bu'gan'wei 食不甘味
'shi'bu'gan'xiu 誓不甘休
'shi'bu'guan'ji 事不关己
'shi'bu'guan'ji'gao'gao'gua'qi 事不关己高高挂起
'shi'bu'guo'fu 食不果腹
'shi'bu'guo'san 事不过三
'shi'bu'huang'wei 食不遑味
'shi'bu'hu'kou 食不糊口
'shi'bu'hu'kou 食不餬口
'shi'bu'jian'chi 噬不见齿
'shi'bu'jian'rou 食不兼肉
'shi'bu'jian'wei 食不兼味
'shi'bu'jiu'hui'tou 十步九回头
'shi'bu'jiu'liu 时不久留
'shi'bu'jue'shu 史不绝书
'shi'bu'ju'qi 势不俱栖
'shi'bu'ke'dang 势不可当
'shi'bu'ke'dang 势不可挡
'shi'bu'ke'e 势不可遏
'shi'bu'ke'feng 时不可逢
'shi'bu'ke'shi 时不可失
'shi'bu'ke'wei 势不可为
'shi'bu'lei'wei 食不累味
'shi'bu'liang'cun 势不两存
'shi'bu'liang'li 誓不两立
'shi'bu'liang'li 势不两立
'shi'bu'liang'quan 势不两全
'shi'bu'liang'xiong 势不两雄
'shi'bu'li'jiu 十不离九
'shi'bu'nian'bao 食不念饱
'shi'bu'qiu'bao 食不求饱
'shi'bu'qiu'gan 食不求甘
'shi'bu'rong'huan 势不容缓
'shi'bu'shi'gu 事不师古
'shi'bu'su'bao 师不宿饱
'shi'bu'wang'bao 施不望报
'shi'bu'wo'dai 时不我待
'shi'bu'wo'yu 时不我与
'shi'bu'xia'bao 食不暇饱
'shi'bu'xiang'cao 十步香草
'shi'bu'xiang'che 十步香车
'shi'bu'xiang'man 实不相瞒
'shi'bu'xiang'men 实不相暪
'shi'bu'xia'yan 食不下咽
'shi'bu'xu'fa 矢不虚发
'shi'bu'yan'jing 食不厌精
'shi'bu'yan'jing'kuai'bu'yan'xi 食不厌精脍不厌细
'shi'bu'yi'chi 事不宜迟
'shi'bu'yi'ge 十步一阁
'shi'bu'you'yu 事不有余
'shi'bu'yu'gu 市不豫贾
'shi'bu'zai'lai 失不再来
'shi'bu'zai'lai 时不再来
'shi'bu'zai'zhi 时不再至
'shi'bu'zhi'nei 十步之内
'shi'bu'zhi'shi 十步之泽
'shi'bu'zhi'wei 食不知味
'shi'bu'zhong'rou 食不重肉
'shi'bu'zhong'wei 食不终味
'shi'cai 食采
'shi'cai'ao'wu 恃才傲物
'shi'cai'bu'xue 恃才不学
'shi'cai'fang'kuang 恃才放旷
'shi'cai'guan'ji 恃才矜己
'shi'cai'jin'gui 恃才矜贵
'shi'cai'lu'yong 试才录用
'shi'cai'ru'ming 视财如命
'shi'cai'shi'mo 食菜事魔
'shi'cai'shi'suo 适材适所
'shi'cai'shi'suo 適材適所
'shi'cai'yang'ji 恃才扬己
'shi'cai'zun'xian 识才尊贤
'shi'can 实参
'shi'can'kao'dian 视参考点
'shi'cao 视草
'shi'cao 时槽
'shi'cao'jian'ge 时槽间隔
'shi'ce'dan'xin 史策丹心
'shi'chang 失常
'shi'chang'gu'chui 诗肠鼓吹
'shi'chang'qu 市场区
'shi'chang'shi'duan 是长是短
'shi'chang'you'xiang'yao'shi 市场邮箱钥匙
'shi'cha'ti'du 视差梯度
'shi'che'er'zou 释车而走
'shi'chen'ba'zi 时辰八字
'shi'chen'da'hai 石沉大海
'shi'chen'dan'zai 酾沈澹灾
'shi'cheng'dei'pao 诗成得袍
'shi'cheng'jiu'wen 十成九稳
'shi'cheng'qi'hu 势成骑虎
'shi'cheng'shui'huo 势成水火
'shi'cheng'tang'chi 石城汤池
'shi'chen'xing 使臣星
'shi'chen'zhi'ji 失晨之鸡
'shi'che'xia'zou 释车下走
'shi'chi'bu'duo 石赤不夺
'shi'chi'shi'hun 实痴实昏
'shi'chong 尸虫
'shi'chong'chu'hu 尸虫出户
'shi'chong'dou'she 石崇斗奢
'shi'chong'hao'chi 石崇豪侈
'shi'chong'shen'cui 事重身衰
'shi'chou 诗筹
'shi'chuan 逝川
'shi'chuan'bai 十传百
'shi'chuang'cao'zuo'xi'tong 视窗操作系统
'shi'chu'bu'yi 事出不意
'shi'chui 石槌
'shi'chui 石锤
'shi'chui'fei'xu 石槌废墟
'shi'chu'ju'ying 时绌举赢
'shi'chu'ju'ying 时绌举盈
'shi'chu'kun'zhong 虱处裈中
'shi'chu'tou'er'hei 虱处头而黑
'shi'chu'wu'ming 师出无名
'shi'chu'wu'nai 事出无奈
'shi'chu'yi'wai 事出意外
'shi'chu'you'ming 师出有名
'shi'chu'you'yin 事出有因
'shi'ci'ge'fu 诗词歌赋
'shi'ci'jiao'qing 饰词矫情
'shi'cong'de'hui'ji 侍从的徽记
'shi'cong'zhi'gong 侍从之弓
'shi'cou'sou'suo 试凑搜索
'shi'cuan'lang'bu 豕窜狼逋
'shi'cun'zhuang'tai 实存状态
'shi'da'di'zi 十大弟子
'shi'da'dong'tian 十大洞天
'shi'dai'ming'wang 十代冥王
'shi'dai'shu'xiang 世代书香
'shi'dai'xiang'chuan 世代相传
'shi'dai'zan'ying 世代簪缨
'shi'dan'fu'fen 施丹傅粉
'shi'dang'ji'chong 适当其冲
'shi'dang'qi'chong 適当其冲
'shi'dang'qi'shi 适当其时
'shi'dang'qi'shi 適当其时
'shi'dang'qi'yan 事当其言
'shi'dang'shi'jue 十荡十决
'shi'dang'zi'dong'hua 适当自动化
'shi'dan'jiang'hu 食箪浆壶
'shi'dan'li'gu 势单力孤
'shi'dan'ru'lu 视丹如緑
'shi'dan'ru'lv 视丹如绿
'shi'dan'shi'zao 嗜胆嗜枣
'shi'dan'yi'cu 食淡衣粗
'shi'dan'zhi'ji 失旦之鸡
'shi'dan'zhi'jian 矢石之间
'shi'dan'zhi'nan 失石之难
'shi'dan'zhi'nan 矢石之难
'shi'dao'gua'zhu 失道寡助
'shi'dao'jiao'li 世道浇漓
'shi'dao'lin'tou 事到临头
'shi'dao'ren'qing 世道人情
'shi'dao'ren'xin 世道人心
'shi'dao'ri'cui 世道日衰
'shi'dao'wan'nan'xu'fang'dan 事到万难须放胆
'shi'dao'zhi'jiao 市道之交
'shi'dao'zun'yan 师道尊严
'shi'da'shi 实打实
'shi'da'shi'shou 实打实受
'shi'da'shi'zhao 实打实着
'shi'da'xiao'zi 十大孝子
'shi'da'yin 式打印
'shi'dei'ji'fan 事得其反
'shi'de'qi'fan 适得其反
'shi'de'qi'fan 適得其反
'shi'de'qi'nian 硕德耆年
'shi'de'zhe'chang 恃德者昌
'shi'di 湿地
'shi'dian 视点
'shi'dian'yan'wang 十殿阎王
'shi'di'e'yu'you'zai 湿地鳄鱼幼崽
'shi'di'huan'yin 释提桓因
'shi'di'wen 史蒂文
'shi'di'zhi 实地址
'shi'dong'la'yue 十冬腊月
'shi'dou'xue'shi 侍读学士
'shi'duan'gui'chang 筮短龟长
'shi'duan'shi'xu 时断时续
'shi'du'bo'shi 侍读博士
'shi'dun 石盾
'shi'dun'pi'feng 石盾披风
'shi'dun'shu 石盾术
'shi'dun'yao'shui 石盾药水
'shi'duo'bu'yang 虱多不痒
'shi'duo'cai'an 识多才广
'shi'duo'wu'yi 拾掇无遗
'shi'du'zhi'ai 舐犊之爱
'shi'du'zhi'nian 舐犊之念
'shi'du'zhi'si 舐犊之私
'shi'e 石腭
'shi'e'bu'she 十恶不赦
'shi'e'guai 石腭怪
'shi'e'jian 释厄剑
'shi'e'kou'nue 式遏寇虐
'shi'en'bu'de 施恩布德
'shi'en'bu'wang'bao 施恩不望报
'shi'en'jia'yuan 市恩嫁怨
'shi'en'wang'bao 施恩望报
'shi'er'bi'feng 十二碧峰
'shi'er'bo'shi 十二博士
'shi'er'bu'fei 施而不费
'shi'er'bu'hua 食而不化
'shi'er'bu'jian 视而不见
'shi'er'bu'jian'ting'er'bu'wen 视而不见听而不闻
'shi'er'bu'zhi'qi'wei 食而不知其味
'shi'er'chen'chong 十二辰虫
'shi'er'chen'dui 十二辰堆
'shi'er'chen'shu 十二辰属
'shi'er'chong'lou 十二重楼
'shi'er'dao'jin'pai 十二道金牌
'shi'er'fei'zhi 是而非之
'shi'er'fen'ye 十二分野
'shi'er'fu'de 失而复得
'shi'er'fu'jian 视而弗见
'shi'er'fu'tu 豕而负涂
'shi'er'jin'chai 十二金钗
'shi'er'jing'mai 十二经脉
'shi'er'jin'pai 十二金牌
'shi'er'jin'ren 十二金人
'shi'er'lan'gan 十二阑干
'shi'er'mo'jian 视而无见
'shi'er'ren'xia 室迩人遐
'shi'er'ren'yao 室迩人遥
'shi'er'ren'yuan 室迩人远
'shi'er'shi'chong 十二时虫
'shi'er'shi'pan 十二时盘
'shi'er'shi'shen 十二时神
'shi'er'wan'fen 十二万分
'shi'er'wan'feng 十二晚峰
'shi'er'wu'er'bu'zhi'shi 识二五而不知十
'shi'er'wu'feng 十二巫峰
'shi'er'xiang'shu 十二相属
'shi'er'yin'yuan 十二因缘
'shi'er'you'ze'xue 仕而优则学
'shi'er'yue'fang 十二乐坊
'shi'er'yue'lv 十二月律
'shi'er'zhu'hou 十二诸侯
'shi'e'wu'ni 十恶五逆
'shi'e'zhi'gong 式遏之功
'shi'fa'jiu'li 十法九例
'shi'fa'liang'gong 使法量功
'shi'fan'dong'zuo 示范动作
'shi'fang 释放
'shi'fang'bao'hu 释放保护
'shi'fang'chang'zhu 十方常住
'shi'fang'fu'chou'sheng'yin 施放复仇圣印
'shi'fang'shi'jie 十方世界
'shi'fang'yi'zhi'xing'mo'xing 释放一致性模型
'shi'fang'yu'qian 食方于前
'shi'fang'zhi'liao'fa'shu 施放治疗法术
'shi'fan'jue'ju 剸繁决剧
'shi'fan'shi'shao 事烦食少
'shi'fan'you'tu 实繁有徒
'shi'fa'shi'zhong 十发十中
'shi'fa'su'lv 施法速率
'shi'fa'zhe 始发者
'shi'fei'bu'fen 是非不分
'shi'fei'chang'duan 是非长短
'shi'fei'de'shi 是非得失
'shi'fei'dian'dao 是非颠倒
'shi'fei'fen'ming 是非分明
'shi'fei'hao'dai 是非好歹
'shi'fei'hun'xiao 是非混淆
'shi'fei'jing'guo'bu'zhi'nan 事非经过不知难
'shi'fei'ju'jian 饰非拒谏
'shi'fei'kou'she 是非口舌
'shi'fei'qian'ding 事非前定
'shi'fei'qing'zhong 是非轻重
'shi'fei'qu'zhi 是非曲直
'shi'fei'ren'wo 是非人我
'shi'fei'sui'guo 饰非遂过
'shi'fei'tuo'lv 施绯拖绿
'shi'fei'wen'guo 饰非文过
'shi'fei'yan'chou 饰非掩丑
'shi'fei'yang'guo 饰非养过
'shi'fei'yan'guo 饰非掩过
'shi'fei'yi'yi 实非易易
'shi'fei'zhi'di 是非之地
'shi'fei'zhi'ji 是非之纪
'shi'fei'zhi'wei'duo'kai'kou 是非只为多开口
'shi'fei'zhi'xin 是非之心
'shi'fei'zi'you'gong'lun 是非自有公论
'shi'fen'fu'yong 时分复用
'shi'feng'bu'gu 世风不古
'shi'feng'qi'hui 适逢其会
'shi'feng'qi'hui 適逢其会
'shi'feng'qi'shi 适逢其时
'shi'feng'qi'shi 適逢其时
'shi'feng'ri'xia 世风日下
'shi'feng'wu'yu 十风五雨
'shi'fen'qu 实分区
'shi'fen'she'duan 豕分蛇断
'shi'fu 石斧
'shi'fu 食府
'shi'fu'chong 食腐虫
'shi'fu'du'xing'zhu 食腐独行蛛
'shi'fu'fen'chen 释缚焚榇
'shi'fu'hu'wan 石缚护腕
'shi'fu'lang 食腐狼
'shi'fu'lang'pi'wai'tao 食腐狼皮外套
'shi'fu'lang'you'zai 食腐狼幼崽
'shi'fu'nao'zhui 十夫桡椎
'shi'fu'niao 食腐鸟
'shi'fu'rou'chui 十夫揉椎
'shi'fu'rou'zhui 十夫楺椎
'shi'fu'ru'pin 视富如贫
'shi'fu'shu 石肤术
'shi'fu'tu'teng 石肤图腾
'shi'fu'zhe 食腐者
'shi'fu'zhi'en 噬肤之恩
'shi'gan 食干
'shi'gan'qin'an 食甘寝安
'shi'gan'qin'ning 食甘寝宁
'shi'gao 石镐
'shi'gao'yi'wei 势高益危
'shi'ge'shi'wu 式歌式舞
'shi'ge'zhi'tou'you'chang'duan 十个指头有长短
'shi'gong'an'hu 恃功岸忽
'shi'gong'ao'chong 恃功傲宠
'shi'gong'bu'ru'shi'guo 使功不如使过
'shi'gong'chang'ku 石工长裤
'shi'gong'guan'chong 恃功矜宠
'shi'gong'pi'feng 石工披风
'shi'gong'wu'gao 恃功务高
'shi'gong'xiong'di'hui'zhi'jie 石工兄弟会之戒
'shi'gou'yan'ci 饰垢掩疵
'shi'gu 市骨
'shi'gu 噬骨
'shi'guai'ming'jian 时乖命蹇
'shi'guai'nong'qiao 使乖弄巧
'shi'guai'yun'chuan 时乖运舛
'shi'guai'yun'guai 时乖运乖
'shi'guai'yun'jian 时乖运蹇
'shi'guai'yun'zhuo 时乖运拙
'shi'guai'zhuang'ji 饰怪装奇
'shi'guan 石罐
'shi'guan'fa'ji 施关发机
'shi'guang'jing'jia 尸光胫甲
'shi'guang'ji'sheng'chong 时光寄生虫
'shi'guang'la'cai 失光落彩
'shi'guang'ren'ran 时光荏苒
'shi'guang'shou'hu'zhe 时光守护者
'shi'guang'si'jian 时光似箭
'shi'guang'wu'se 十光五色
'shi'guang'zhi'xue 时光之穴
'shi'guan'shou'can 适馆授粲
'shi'guan'zhang'de'ban'jia'hu'wan 士官长的板甲护腕
'shi'guan'zhang'de'lian'jia'hu'wan 士官长的链甲护腕
'shi'guan'zhang'de'long'pi'hu'wan 士官长的龙皮护腕
'shi'guan'zhang'de'pi'jia'hu'wan 士官长的皮甲护腕
'shi'guan'zhang'de'si'zhi'hu'wan 士官长的丝质护腕
'shi'guan'zhong'da 事关重大
'shi'gu'bian'qian 事故变迁
'shi'gu'bu'er 市贾不二
'shi'gu'bu'hua 食古不化
'shi'gu'chu'cang'suo 尸骨储藏所
'shi'gu'fei'jin 是古非今
'shi'gu'fei'xu 噬骨废墟
'shi'gu'huan'mo'zhe 噬骨唤魔者
'shi'gu'hui 蚀骨灰
'shi'gu'hui'mie'zhe 噬骨毁灭者
'shi'gui 失桂
'shi'gui'cheng'bie 识龟成鳖
'shi'gui'dan 石龟丹
'shi'gui'qian 使鬼钱
'shi'gu'ji'qiong 势孤计穷
'shi'gu'li'bao 势孤力薄
'shi'gu'li'qiong 势孤力穷
'shi'gu'lue'duo'zhe 噬骨掠夺者
'shi'gun 石棍
'shi'gun'niao'liu 屎滚尿流
'shi'guo'jing'qian 事过境迁
'shi'guo'jing'qian 时过境迁
'shi'guo'jing'qian 事过景迁
'shi'guo'qing'qian 事过情迁
'shi'gu'ren'qing 世故人情
'shi'gu'ru'geng 食古如鲠
'shi'gu'shu'yuan 石鼓书院
'shi'gu'tie'zhen 噬骨铁针
'shi'gu'wei'han 尸骨未寒
'shi'gu'zai'hou 食骨在喉
'shi'gu'zhe 噬骨者
'shi'gu'zhi'zui 是古之罪
'shi'hai'meng'shan 誓海盟山
'shi'hai'ta'ren 世海他人
'shi'hai'yu'lu 豕亥鱼鲁
'shi'han 识韩
'shi'han'bing 时寒冰
'shi'hang'ju'xia 十行俱下
'shi'hang'yu'te 饰行儥慝
'shi'han'yi'bao 十寒一暴
'shi'hao'fa'ling 施号发令
'shi'hao'shun'mo 舐毫吮墨
'shi'hao'zhi'qing 式好之情
'shi'he 适合
'shi'he 石河
'shi'heng'bian'ye 尸横遍野
'shi'heng'yun'tai 时亨运泰
'shi'he'nian'feng 时和年丰
'shi'he'sui'feng 时和岁丰
'shi'he'sui'ren 时和岁稔
'shi'he'xing'li 势合形离
'shi'he'yan'zhi 事核言直
'shi'hou'cong'ming 事后聪明
'shi'hou'wei'shi 石吼卫士
'shi'hou'xi'yi 石喉蜥蜴
'shi'hou'yong'shi 石吼勇士
'shi'hou'zhan'shi 石吼战士
'shi'hou'zhi'wang 石吼之王
'shi'hou'zhong'jia 狮吼重甲
'shi'hou'zhu'ge'liang 事后诸葛亮
'shi'hu 市虎
'shi'hu 侍胡
'shi'hu 世虎
'shi'hua 石化
'shi'hua'de'li'lin'yu'ren 尸化的厉鳞鱼人
'shi'hua'fa'zhang 石花法杖
'shi'hua'jia'chong 石化甲虫
'shi'huan 石环
'shi'huang'jia'beng 始皇驾崩
'shi'huang'lang 石荒狼
'shi'huan'ze'yuan 事缓则圆
'shi'hua'shi'shuo 实话实说
'shi'hua'shu'pi'hu'shou 石化树皮护手
'shi'hua'wu'qi 石化武器
'shi'hua'xiu'mian 石化休眠
'shi'hua'xi'yi 石化蜥蜴
'shi'hua'xi'yi'de'gu'tou 石化蜥蜴的骨头
'shi'hua'xi'yi'pi'ku 石化蜥蜴皮裤
'shi'hua'xi'yi'zhi'ren 石化蜥蜴之刃
'shi'hu'chuan'e 豕虎传讹
'shi'hu'chuan'e 豕虎传譌
'shi'hu'dang'dao 狮虎当道
'shi'hui'fen 石灰粉
'shi'hui'zeng'mei 释回增美
'shi'hu'liang'zhu 十斛量珠
'shi'hun 噬魂
'shi'hun'dang'po 失魂荡魄
'shi'hun'duo'po 失魂夺魄
'shi'hun'jie 噬魂戒
'shi'hun'luo'po 失魂落魄
'shi'hun'sang'dan 失魂丧胆
'shi'hun'sang'po 失魂丧魄
'shi'hun'shui'jing 噬魂水精
'shi'hun'xia'kai 噬魂下铠
'shi'hun'zhe 嗜魂者
'shi'hun'zhe 噬魂者
'shi'hun'zhe'yin'ji 噬魂者印记
'shi'huo'dian'guang 石火电光
'shi'huo'feng'deng 石火风灯
'shi'huo'feng'zhu 石火风烛
'shi'huo'guang'yin 石火光阴
'shi'huo'wo'xin 实获我心
'shi'huo'xuan'chun 食藿悬鹑
'shi'huo'zhe 食火者
'shi'huo'zhou'long 事火咒龙
'shi'ji 室祭
'shi'ji 事迹
'shi'ji 誓檝
'shi'ji 史籍
'shi'ji 石脊
'shi'jia'bu'er 市价不二
'shi'jia'cheng'pi 嗜痂成癖
'shi'jia'de'bing 饰甲底兵
'shi'jia'guo'zao'jiu'bu'tong 十家锅灶九不同
'shi'jia'lian'zuo 十家连坐
'shi'jian'bao'gao 事件报告
'shi'jian'bian'qian 时间变迁
'shi'jian'biao 事件表
'shi'jian'chang'shu 时间常数
'shi'jian'chong'die 时间重叠
'shi'jian'chu'li 事件处理
'shi'jian'chuo 时间戳
'shi'jian'ding'yi'yu'yan 事件定义语言
'shi'jian'dong'zuo'yan'jiu 时间动作研究
'shi'jian'dui'lie 事件队列
'shi'jian'du'li'xing 事件独立性
'shi'jian'fang'shi 事件方式
'shi'jian'fen'pian 时间分片
'shi'jian'fu'wu'yuan 时间服务员
'shi'jian'fu'za'du 时间复杂度
'shi'jian'fu'za'xing 时间复杂性
'shi'jiang 誓江
'shi'jiang'hu'chong 恃强怙宠
'shi'jiang'qi'ruo 恃强欺弱
'shi'jiang'qu 石匠区
'shi'jiang'qu'ru 逝将去汝
'shi'jian'guo'lv'qi 事件过滤器
'shi'jiang'wu'kui 十浆五馈
'shi'jiang'yi'chong 恃强倚宠
'shi'jiang'zheng'ba 恃强争霸
'shi'jian'jian'ce'cheng'xu 事件检测程序
'shi'jian'jian'ce'qi 事件检测器
'shi'jian'jia'zi'xu'yu'shi 世间甲子须臾事
'shi'jian'jin'kui 石缄金匮
'shi'jian'jin'pai 势剑金牌
'shi'jian'ju'bu'xing 时间局部性
'shi'jian'kan'shou'zhe 时间看守者
'shi'jian'kong'zhi'kuai 事件控制块
'shi'jian'liang'zi 时间量子
'shi'jian'lie'xi 时间裂隙
'shi'jian'liu'shi 时间流逝
'shi'jian'miao'shu 事件描述
'shi'jian'mo'nan'shi 世间无难事
'shi'jian'nan'duan 十箭难断
'shi'jian'pei'te'li'wang 时间佩特里网
'shi'jian'pian 时间片
'shi'jian'pian'lun'zhuan 时间片轮转
'shi'jian'pu'xi 时间谱系
'shi'jian'qu'dong 事件驱动
'shi'jian'qu'dong'cheng'xu 事件驱动程序
'shi'jian'qu'dong'ren'wu'diao'du 事件驱动任务调度
'shi'jian'qu'dong'yu'yan 事件驱动语言
'shi'jian'qu'dong'zhi'xing'cheng'xu 事件驱动执行程序
'shi'jian'shou'wang'zhe 时间守望者
'shi'jian'ting'zhi 时间停止
'shi'jian'tong'bu'wen'ti 时间同步问题
'shi'jian'tou 石箭头
'shi'jian'xi'tong 事件系统
'shi'jian'xue'xi 实践学习
'shi'jian'xu'lie'mo'xing 时间序列模型
'shi'jian'yan'chi 时间延迟
'shi'jian'yi'ban 时见一斑
'shi'jian'yi'lai'xing 事件依赖性
'shi'jian'you'jie'tu'ling'ji 时间有界图灵机
'shi'jian'yuan 事件源
'shi'jian'yue'shu 时间约束
'shi'jian'zhi'bu 时间之步
'shi'jian'zhi'xue 时间之穴
'shi'jiao 石窖
'shi'jiao 石角
'shi'jiao'shou'chu 豕交兽畜
'shi'jiao'xue'xi 示教学习
'shi'jia'san'mei 诗家三昧
'shi'jia'you'pi 嗜痂有癖
'shi'jia'zhi'pi 嗜痂之癖
'shi'jia'zi'di 世家子弟
'shi'ji'cun'chu'ye'biao 实际存储页表
'shi'ji'dai 试剂袋
'shi'jie'da'tong 世界大同
'shi'jie'fang'da'qi 世界放大器
'shi'jie'fang'wu 世界防务
'shi'jie'fang'wu'pin'dao 世界防务频道
'shi'jie'gong'bei 事捷功倍
'shi'jie'shi'da 失节事大
'shi'jie'shi'jian 世界事件
'shi'jie'shu 视界术
'shi'jie'zhi'shi 世界知识
'shi'jie'zhi'shu 世界之树
'shi'jie'zhi'shu'de'nen'zhi 世界之树的嫩枝
'shi'jie'zuo'biao 世界坐标
'shi'jie'zuo'biao'xi 世界坐标系
'shi'ji'jing'mao'da'sha 世纪经贸大厦
'shi'ji'ji'sheng 事急计生
'shi'ji'ma'hang'tian 事急马行田
'shi'ji'mo'jun'zi 事急无君子
'shi'jin'bing'qiong 矢尽兵穷
'shi'jin'bu'mei 拾金不昧
'shi'jing 识荆
'shi'jing 石靖
'shi'jing'da'guai 失惊打怪
'shi'jing'dao'guai 失惊倒怪
'shi'jing'hen'wan 识荆恨晚
'shi'jing'ji'gan 虱胫虮肝
'shi'jing'luo'cai 失精落彩
'shi'jing'tong'zi 十经童子
'shi'jing'wu'lai 市井无赖
'shi'jing'xiao'ren 市井小人
'shi'jing'yong'yu 市井庸愚
'shi'jing'zhi'chen 市井之臣
'shi'jing'zhi'tu 市井之徒
'shi'jin'jie'li 施衿结褵
'shi'jin'shi 试金石
'shi'jin'yuan'jue 矢尽援绝
'shi'jin'zhi 十进制
'shi'jin'zhi'shu'zi 十进制数字
'shi'ji'qi'mei 世济其美
'shi'ji'shang'bao 失饥伤饱
'shi'ji'shi'shi'gui 噬棘食尸鬼
'shi'jiu 狮鹫
'shi'jiu'chang'yu 狮鹫长羽
'shi'jiu'cheng'du 贳酒成都
'shi'jiu'feng'liu 诗酒风流
'shi'jiu'jian'ren'xin 事久见人心
'shi'jiu'long 狮鹫笼
'shi'jiu'ma'zuo 使酒駡座
'shi'jiu'ma'zuo 使酒骂座
'shi'jiu'ma'zuo 使酒骂坐
'shi'jiu'peng'chai 诗酒朋侪
'shi'jiu'xin'tiao 十九信条
'shi'jiu'zhang'qi 使酒仗气
'shi'jiu'zheng'zhu 诗酒征逐
'shi'jiu'zhi'ping 尸鸠之平
'shi'jiu'zhi'ren 尸鸠之仁
