'ai'xin'hui'guo 爱信慧国
'hou'yang'bang 后洋浜
'hou'yang'lu'kou 后杨路口
'hou'zhai'qiao 后宅桥
'hou'zheng 后郑
'hu'bin 湖滨
'hu'bin'hua'yuan 湖滨花园
'hu'dong'cun 湖东村
'hu'jia'dai 胡家埭
'hu'jia'dian 胡家店
'hu'jia'jiao 胡家角
'hu'jia'nong 胡家弄
'hu'lin 胡林
'hu'lu'ba 葫芦坝
'hu'pan'lu'shui'cheng'lu'kou 湖畔路水城路口
'hu'pao 虎跑
'hu'shan'chu'zhong 虎山初中
'hu'shan'cun 湖山村
'hu'shan'gong'jiao'zhan 湖山公交站
'hu'shan'guang'chang 湖山广场
'hu'shan'xin'cun 湖山新村
'hu'shu'lu'shen'tang'qiao 湖墅路沈塘桥
'hu'tou'chen 湖头陈
'hu'xue'yan'gu'ju 胡雪岩故居
'hu'zhou'jie'hang'xing'lu'kou 湖州街杭行路口
'hu'zhou'jie'shang'tang'lu'kou 湖州街上塘路口
'hu'zhou'jie'shen'ban'lu'kou 湖州街沈半路口
'hua'cheng 化城
'hua'cheng'qiao 化城桥
'hua'cheng'qiao 化成桥
'hua'dong'jia'ju'shi'chang 华东家具市场
'hua'dong'lu 华东路
'hua'dong'qiao 华东桥
'hua'dong'tao'ci'jian'cai'shi'chang 华东陶瓷建材市场
'hua'fen'tou 花坟头
'hua'feng 华丰
'hua'feng'bei 华丰北
'hua'feng'cun 华丰村
'hua'feng'cun'kou 华丰村口
'hua'feng'gong'jiao'zhan 华丰公交站
'hua'feng'lu 华丰路
'hua'feng'lu'kou 华锋路口
'hua'feng'lu'shi'qiao'lu'kou 华丰路石桥路口
'hua'feng'su'she 华丰宿舍
'hua'feng'yuan 华丰苑
'hua'gong'dui 化工队
'hua'guang'xiang 华光巷
'hua'ji'shi'jie 话机世界
'hua'jia'bang 花家浜
'hua'jia'chi 华家池
'hua'jia'cun'xi'kou 华家村西口
'hua'jia'dian 华家垫
'hua'jia'dian'nan 华家垫南
'hua'jia'dian'xi 华家垫西
'hua'jiang'lu'kou 花蒋路口
'hua'jing'jie'wen'yuan'lu'kou 华景街文渊路口
'hua'jing'jie'yin'sha'lu'kou 华景街银沙路口
'hua'li'gong'si 华利公司
'hua'li'shi'ye'ji'tuan 华利实业集团
'hua'lian'chao'shi 华联超市
'hua'long 化龙
'hua'mu'cheng 花木城
'hua'mu'zhong'xin 花木中心
'hua'ning'lu'kou 华宁路口
'hua'pai'lou 花牌楼
'hua'run'wan'jia'pu'jia'dian 华润万家濮家店
'hua'shen'miao'cun 花神庙村
'hua'shu'cun 桦树村
'hua'ting'lu 华庭路
'hua'ting'yun'ding 华庭云顶
'hua'wen'tou 花纹头
'hua'wu 华坞
'hua'wu'cun'si'zu 华坞村四组
'hua'wu'qiao 花坞桥
'hua'wu'xiao'qu 花坞校区
'hua'wu'xin'cun 花坞新村
'hua'xian'qiao 化仙桥
'hua'xing'qi'che'cheng 华兴汽车城
'hua'yu'shang'cheng 华宇商城
'hua'yu'xiao'qu 华宇小区
'hua'yuan 花园
'hua'yuan'cun 花园村
'hua'yuan'dou 花园兜
'hua'yuan'feng'cheng 华源凤城
'hua'yuan'gang 花园岗
'hua'yuan'gang'jie 花园岗街
'hua'yuan'xi'cun 花园西村
'hua'yuan'xiao'qu 华源小区
'hua'yuan'xin'cun 花园新村
'hua'yuan'xu 花园徐
'hua'yue'jia'ju 华越家具
'huan'bei'lu 环北路
'huan'bei'lu'ke'ji'da'dao'kou 环北路科技大道口
'huan'bei'lu'lin'shui'lu'kou 环北路临水路口
'huan'bei'shi'chang 环北市场
'huan'cheng'bei'lu 环城北路
'huan'cheng'zhan 换乘站
'huan'cheng'zhan'bei 换乘站北
'huan'cheng'zhan'dong 换乘站东
'huan'cheng'zhan'nan 换乘站南
'huan'cheng'zhan'xi 换乘站西
'huan'dao'dong 环岛东
'huan'dao'xi 环岛西
'huan'ding'lu'chang'hong'lu'bei'kou 环丁路长虹路北口
'huan'ding'lu'chang'hong'lu'nan'kou 环丁路长虹路南口
'huan'ding'lu'da'nong'gang'lu'dong'kou 环丁路大农港路东口
'huan'ding'lu'gong'jiao'zhan 环丁路公交站
'huan'ding'lu'xi'kou 环丁路西口
'huan'sha'lu'kou 浣纱路口
'huan'tan 欢潭
'huan'tan'chu'zhong 欢潭初中
'huan'tan'lu'kou 欢潭路口
'huan'tan'nan 欢潭南
'huan'tan'wei'sheng'yuan 欢潭卫生院
'huan'xi'yong'ning'qiao 欢喜永宁桥
'huan'zhan'xi'lu'mai'miao'jie'kou 环站西路麦庙街口
'huan'zhan'xi'lu'mai'miao'jie'kou 环站西路麦苗街口
'huan'zhan'xi'lu'mai'miao'lu'kou 环站西路麦苗路口
'huan'zhen'nan'lu'xiao'ming'xian'lu'kou 环镇南路萧明线路口
'huan'zhen'xi'lu'cheng'hu'lu'kou 环镇西路成虎路口
'huan'zhen'xi'lu'shui'zhao'xian'lu'kou 环镇西路水昭线路口
'huang'chao'hua'yuan 皇朝花园
'huang'chao'hua'yuan'xi 皇朝花园西
'huang'gong'lou 黄公娄
'huang'guan'wang'che'ye 皇冠王车业
'huang'he'bang 黄河浜
'huang'hu'gong'jiao'zhan 黄湖公交站
'huang'hu'jie 黄湖街
'huang'hu'jie 黄胡街
'huang'hu'kai'fa'qu 黄湖开发区
'huang'hu'nong'mao'shi'chang 黄湖农贸市场
'huang'hu'zhen'zheng'fu 黄湖镇政府
'huang'hu'zhong'xue 黄湖中学
'huang'jia'cun 黄家村
'huang'jia'cun'gong'jiao'zhan 黄家村公交站
'huang'jia'dun'lu'kou 黄家墩路口
'huang'jia'kan 黄家坎
'huang'jia'qiao 黄家桥
'huang'jia'zhang 黄家章
'huang'jia'zhang'cun'wei 黄家章村委
'huang'jin'shui'an 黄金水岸
'huang'long'dong 黄龙洞
'huang'long'gong'jiao'zhan 黄龙公交站
'huang'long'lu 黄龙路
'huang'long'lv'you'ji'san'zhong'xin 黄龙旅游集散中心
'huang'long'ti'yu'zhong'xin 黄龙体育中心
'huang'ni'ling 黄泥岭
'huang'ni'wu 黄泥坞
'huang'sha'ma'tou 黄沙码头
'huang'shan'cun 黄山村
'huang'shan'xin'xiao'qu 黄山新小区
'huang'tai'shan 黄太山
'huang'tang'tou 黄塘头
'huang'tian'cun'kou 黄天村口
'hui'chun'lu'kou 回春路口
'hui'de'long'jia'dian'guang'chang 汇德隆家电广场
'hui'de'long'yin'long'bai'huo 汇德隆银隆百货
'hui'jia'qiao 会家桥
'hui'kang'fu'shi 慧康服饰
'hui'lan'bei'yuan 回澜北苑
'hui'lan'chu'zhong 回澜初中
'hui'lan'gong'jiao'zhan 回澜公交站
'hui'lan'nan'yuan 回澜南苑
'hui'long'cun 回龙村
'hui'long'cun 廻龙村
'hui'long'qiao 回龙桥
'hui'min'lu 惠民路
'hui'min'lu'kou 惠民路口
'hui'ri'si 慧日寺
'huo'che'bang 火车浜
'huo'che'dong'zhan 火车东站
'huo'che'zhan 火车站
'huo'ju'da'dao'shi'dai'da'dao'kou 火炬大道时代大道口
'huo'xing'cun'wei 火星村委
'ji'chang'ba'shi'hou'che'shi 机场巴士候车室
'ji'chang'hou'ji'ting 机场候机厅
'ji'chang'lu'san'li'ting 机场路三里亭
'ji'dong'che'liang'guan'li'suo 机动车辆管理所
'ji'du'jiao'chong'yi'tang 基督教崇一堂
'ji'jia'ba 计家坝
'ji'jia'bang'lu'kou 计家浜路口
'ji'long'shan 鸡笼山
'ji'shan'bei 吉山北
'ji'shan'cun 吉山村
'ji'shan'dong 鸡山东
'ji'shan'nan 吉山南
'ji'shen'cun 机神村
'ji'sheng'zhi'dao'zhan 计生指导站
'ji'xian 集贤
'jia'ba'fang 贾八房
'jia'dian'chao'shi 家电超市
'jia'ji'wu'liu 佳吉物流
'jia'jia'she'qu 贾家社区
'jia'li'hua'yuan 嘉利花园
'jia'shi'fen'xiao 驾驶分校
'jia'wu 夹坞
'jia'you'zhan 加油站
'jia'zao'cun 夹灶村
'jia'zhou'yang'guang 加州阳光
'jian'bei'qiao 建北桥
'jian'ding'zhi'lu'ding'qiao'dong'lu'kou 笕丁支路丁桥东路口
'jian'fu'cun 建富村
'jian'guo'bei'lu'wen'hui'lu'kou 建国北路文晖路口
'jian'guo'bei'lu'yi'dong 建国北路以东
'jian'guo'bei'lu'yi'xi 建国北路以西
'jian'guo'lu'kou 建国路口
'jian'guo'zhong'lu 建国中路
'jian'hu 尖湖
'jian'hua'cun 建华村
'jian'qiao 笕桥
'jian'shan 尖山
'jian'shan'cai'chang 尖山菜场
'jian'shan'qiao'tou 尖山桥头
'jian'shan'xia 尖山下
'jian'she 建设
'jian'she'da'sha 建设大厦
'jian'she'er'lu 建设二路
'jian'she'er'lu'shi'xin'lu'kou 建设二路市心路口
'jian'she'er'lu'xi 建设二路西
'jian'she'lu'kou 建设路口
'jian'she'san'lu 建设三路
'jian'she'san'lu'dong 建设三路东
'jian'she'xue'yuan 建设学院
'jian'she'yi'lu 建设一路
'jian'she'yi'lu'feng'qing'da'dao'kou 建设一路风情大道口
'jian'she'yi'lu'jin'er'lu'kou 建设一路金二路口
'jian'xin'cun 建新村
'jian'xin'lu'kou 建新路口
'jian'yi'cun 建一村
'jian'ying'cun'wei 建盈村委
'jian'ying'lao'qiao 建盈老桥
'jian'zhu'dui 建筑队
'jiang'bian 江边
'jiang'bin'gong'si 江滨公司
'jiang'cun'gong'jiao'zhong'xin'zhan 蒋村公交中心站
'jiang'cun'shang'zhu'qu 蒋村商住区
'jiang'cun'xing'da'yuan 蒋村兴达苑
'jiang'dong'cun'cun'kou 江东村村口
'jiang'dong'da'dao'he'zhuang'da'dao'kou 江东大道河庄大道口
'jiang'dong'da'dao'min'zhu'cun'kou 江东大道民主村口
'jiang'dong'da'dao'shu'nan'cun'kou 江东大道蜀南村口
'jiang'dong'da'dao'xiang'gong'cun'kou 江东大道向公村口
'jiang'dong'da'dao'xiao'si'bu'cun'kou 江东大道小泗埠村口
'jiang'dong'da'qiao'dong 江东大桥东
'jiang'dong'da'qiao'xi 江东大桥西
'jiang'dong'er'lu'shi'ji'da'dao'lu'kou 江东二路世纪大道路口
'jiang'dong'gong'jiao'zhan 江东公交站
'jiang'dong'kai'fa'qu 江东开发区
'jiang'dong'kai'fa'qu'guan'wei'hui 江东开发区管委会
'jiang'dong'san'lu 江东三路
'jiang'dong'san'lu'shi'ji'da'dao'kou 江东三路世纪大道口
'jiang'dong'san'lu'shi'ji'da'dao'lu'kou 江东三路世纪大道路口
'jiang'dong'san'lu'wei'wu'lu'kou 江东三路纬五路口
'jiang'dong'si'lu'qing'liu'bei'lu'kou 江东四路青六北路口
'jiang'dong'si'lu'qing'liu'lu'kou 江东四路青六路口
'jiang'dong'si'lu'qing'xi'yi'lu'kou 江东四路青西一路口
'jiang'dong'wu'lu'qing'dong'yi'lu'kou 江东五路青东一路口
'jiang'dong'wu'lu'qing'liu'bei'lu'kou 江东五路青六北路口
'jiang'dong'wu'lu'qing'xi'yi'lu'kou 江东五路青西一路口
'jiang'er'cun 江二村
'jiang'han'dong'lu'qian'mo'lu'kou 江汉东路阡陌路口
'jiang'han'lu'gong'jiao'zhan 江汉路公交站
'jiang'han'lu'jiang'hui'lu'kou 江汉路江晖路口
'jiang'han'lu'qiu'shui'lu'kou 江汉路秋水路口
'jiang'han'lu'xin'yue'lu'kou 江汉路新月路口
'jiang'hui'lu'bin'an'lu'kou 江晖路滨安路口
'jiang'hui'lu'bin'he'lu'kou 江晖路滨和路口
'jiang'hui'lu'bin'wen'lu'kou 江晖路滨文路口
'jiang'hui'lu'dan'feng'lu'kou 江晖路丹枫路口
'jiang'hui'lu'jiang'nan'da'dao'kou 江晖路江南大道口
'jiang'jia'dou 蒋家斗
'jiang'jia'qiao 江家桥
'jiang'jia'qiao 蒋家桥
'jiang'jia'tang 蒋家塘
'jiang'jia'wan 蒋家湾
'jiang'jie'dou 蒋介斗
'jiang'jin'lu'min'xin'lu'kou 江锦路民心路口
'jiang'kou'cun 江口村
'jiang'ling'lu'bin'an'lu'kou 江陵路滨安路口
'jiang'ling'lu'bin'he'lu'kou 江陵路滨和路口
'jiang'ling'lu'jiang'han'lu'kou 江陵路江汉路口
'jiang'ling'lu'nan 江陵路南
'jiang'nan'da'dao'dong'xin'da'dao'kou 江南大道东信大道口
'jiang'nan'da'dao'huan'xing'lu'kou 江南大道环兴路口
'jiang'nan'da'dao'wei'ye'lu'kou 江南大道伟业路口
'jiang'nan'shang'cheng 江南商城
'jiang'nan'zhong'xue 江南中学
'jiang'qiao'lu'kou 江桥路口
'jiang'san 江三
'jiang'shan'nong 江山弄
'jiang'si 江寺
'jiang'wu'cun 姜吴村
'jiang'xi'yu 江西俞
'jiang'xi'yu'xiao'xue 江西俞小学
'jiang'yang'cun 蒋阳村
'jiang'yang'fan 江洋畈
'jiang'yi 江一
'jiang'yi'cun 江一村
'jiao'bai'shi'chang 茭白市场
'jiao'gong'lu'bei'kou 教工路北口
'jiao'gong'lu'kou 教工路口
'jiao'gong'lu'tang'he'lu'kou 教工路塘河路口
'jiao'gong'lu'yi'dong 教工路以东
'jiao'gong'lu'yi'xi 教工路以西
'jiao'hua'fen'chang 焦化分厂
'jiao'jia'cun 焦家村
'jiao'jia'cun'gong'jiao'zhong'xin'zhan 焦家村公交中心站
'jiao'jing'da'dui 交警大队
'jiao'jing'dui 交警队
'jiao'jing'zhong'dui 交警中队
'jiao'shan'cun'kou 蛟山村口
'jiao'shi'gong'yu 教师公寓
'jiao'shi'jin'xiu'xue'xiao 教师进修学校
'jiao'tong'da'lou 交通大楼
'jiao'tong'da'sha 交通大厦
'jiao'tong'guo'shui 交通国税
'jiao'tong'ju 交通局
'jiao'tong'xue'yuan 交通学院
'jie'ba'qiao 接坝桥
'jie'bai'shang'dian 解百商店
'jie'bai'xin'shi'ji 解百新世纪
'jie'fang'lu'qiu'tao'lu'kou 解放路秋涛路口
'jie'fang'lu'wu'shan'lu'kou 解放路吴山路口
'jie'fang'qiao 解放桥
'jie'neng'chan'ye'yuan 节能产业园
'jie'neng'chan'ye'yuan'nan 节能产业园南
'jie'neng'chan'ye'yuan'xi 节能产业园西
'jie'neng'gong'si 节能公司
'jie'shu'wan 桔树湾
'jie'wang'cun 结网村
'jin'cheng'er'zhong 锦城二中
'jin'cheng'hua'yuan 金城花园
'jin'cheng'san'zhong 锦城三中
'jin'cheng'xin'tian'di 锦城新天地
'jin'cheng'yi'yuan 锦城医院
'jin'cheng'yi'zhong 锦城一中
'jin'cun 金村
'jin'du'bei'lu'gong'jiao'zhan 金渡北路公交站
'jin'du'bei'lu'gu'dun'lu'kou 金渡北路古墩路口
'jin'dun'hua'yuan 金盾花园
'jin'er'she'qu 金二社区
'jin'fan'xue'xiao 金帆学校
'jin'hua'cun 进化村
'jin'hua'da'zhang'shu 进化大樟树
'jin'hua'gong'jiao'zhan 进化公交站
'jin'hua'hua'feng'cun 进化华锋村
'jin'hua'nong'mao'shi'chang 进化农贸市场
'jin'hua'zhen'zheng'fu 进化镇政府
'jin'hui'gong'yu 金汇公寓
'jin'ji'shan 金鸡山
'jin'jia'bang 金家浜
'jin'jia'bu 金家埠
'jin'jia'dai 金家埭
'jin'jia'du 金家渡
'jin'jia'du'bei'yuan 金家渡北苑
'jin'jia'du'lu'dong'kou 金家渡路东口
'jin'jia'du'lu'xi'kou 金家渡路西口
'jin'jia'ling 金家岭
'jin'jia'men 金家门
'jin'jia'nong'kou 金家弄口
'jin'jia'qiao 金家桥
'jin'jia'tou 金家头
'jin'jia'wan 金家湾
'jin'jiang'cun 近江村
'jin'jiang'gong'jiao'zhan 近江公交站
'jin'jiang'ji'tuan 锦江集团
'jin'jiang'ji'tuan'bei'men 锦江集团北门
'jin'jiang'liu'yuan 近江六园
'jin'jiang'shi'ji'fang 近江世纪坊
'jin'jiang'xiao'qu 近江小区
'jin'jiang'yi'yuan 近江一园
'jin'jiang'zhi'xing 锦江之星
'jin'lei'men'chuang 金磊门窗
'jin'long'dian'lan'chang 金龙电缆厂
'jin'long'gong'yu 锦龙公寓
'jin'ma'fan'dian 金马饭店
'jin'men'kan 金门槛
'jin'nan'xin'cun 锦南新村
'jin'qiao'jie'wen'ze'bei'lu'kou 金乔街文泽北路口
'jin'qiao'jie'yuan'cheng'lu'kou 金乔街元成路口
'jin'quan'cun 金泉村
'jin'se'lan'ting'gong'jiao'zhan 金色蓝庭公交站
'jin'se'nian'hua 金色年华
'jin'se'qian'tang 金色钱塘
'jin'sha'da'dao'hai'da'nan'lu'kou 金沙大道海达南路口
'jin'sha'da'dao'yin'sha'lu'kou 金沙大道银沙路口
'jin'sha'gong'yu 金厦公寓
'jin'sha'gong'yu 金沙公寓
'jin'shan'cun 金山村
'jin'shan'gong'jiao'zhan 金山公交站
'jin'shan'lu'xiao'hang'lu'kou 金山路萧杭路口
'jin'shan'xue'xiao 金山学校
'jin'shou'shui'ni'chang 金首水泥厂
'jin'shu'shui'ni'chang 金属水泥厂
'jin'suo'lu'kou 金锁路口
'jin'ting'lu'kou 津亭路口
'jin'tou 金头
'jin'wen'hui'lu 近文晖路
'jin'xi'xi'lu 近西溪路
'jin'xian'tan 斤线潭
'jin'xing'cun 金星村
'jin'xiu 金岫
'jin'xiu 锦绣
'jin'xiu'lu'dong 锦绣路东
'jin'xiu'lu'kou 锦绣路口
'jin'xiu'lu'xi 锦绣路西
'jin'xiu'shan'shui'yuan 锦锈山水苑
'jin'ya'zhuang 金衙庄
'jin'yang'ren'li 锦阳人力
'jin'yi'cun 金一村
'jin'yi'lu'jian'she'yi'lu'kou 金一路建设一路口
'jin'yu'jing 金鱼井
'jin'yue'wang'lu 近岳王路
'jing'dong'cun 靖东村
'jing'dong'cun'wei 靖东村委
'jing'dong'lu'tan'hua'an'lu'kou 景东路昙花庵路口
'jing'du'lu'bin'kang'lu'kou 晶都路滨康路口
'jing'fang'dong'qu 景芳东区
'jing'fang'er'qu 景芳二区
'jing'fang'liu'qu 景芳六区
'jing'fang'san'qu 景芳三区
'jing'fang'shui'xiang'yuan 景芳水湘苑
'jing'fang'si'qu'bei 景芳四区北
'jing'fang'ting 景芳亭
'jing'fang'wu'qu 景芳五区
'jing'fang'wu'qu'nan'men 景芳五区南门
'jing'fang'xiao'qu 景芳小区
'jing'fang'yi'qu'nan 景芳一区南
'jing'hang'le'yuan 京航乐园
'jing'jiang 靖江
'jing'jiang'lao'jie 靖江老街
'jing'jiang'nan'qiao 靖江南桥
'jing'jiang'nong'hang 靖江农行
'jing'jiang'pai'chu'suo 靖江派出所
'jing'jiang'wei'sheng'yuan 靖江卫生院
'jing'jiang'zhen'zheng'fu 靖江镇政府
'jing'lao'yuan 敬老院
'jing'li'hua'ting 景丽华庭
'jing'liu'lu'jiang'dong'san'lu'kou 经六路江东三路口
'jing'liu'lu'lin'jiang'da'dao'kou 经六路临江大道口
'jing'nan'lu'kou 靖南路口
'jing'shan'che'zhan 径山车站
'jing'shan'cun 径山村
'jing'shan'da'dao 径山大道
'jing'shan'ling 荆山岭
'jing'shan'lu'kou 景山路口
'jing'shan'si 径山寺
'jing'shan'wei'sheng'yuan 径山卫生院
'jing'shan'zhan 径山站
'jing'shan'zhen'zheng'fu 径山镇政府
'jing'shan'zhong'xue 径山中学
'jing'si 净寺
'jing'si'zhi'lu'yin'hai'jie'kou 经四支路银海街口
'jing'tan'lu'bei'kou 景昙路北口
'jing'tan'lu'feng'qi'dong'lu'kou 景昙路凤起东路口
'jing'tan'lu'gen'shan'lu'kou 景昙路艮山路口
'jing'ting'qiao 井亭桥
'jing'xing'guan'lu'kou 景星观路口
'jing'yi'cun'wei 靖一村委
'jing'you 经游
'jing'you'cai'chang 经游菜场
'jing'you'gong'jiao'zhan 径游公交站
'jing'you'jing'lao'yuan 径游敬老院
'jing'you'wei'sheng'yuan 径游卫生院
'jing'yu'lu'kou 景御路口
'jing'zhou'lu'lian'hua'jie'kou 竞舟路莲花街口
'jing'zhou'lu'wen'er'xi'lu'kou 竞舟路文二西路口
'jing'zhou'lu'wen'san'xi'lu'kou 竞舟路文三西路口
'jiu'bao 九堡
'jiu'bao'nan 九堡南
'jiu'bao'nong'mao'shi'chang 九堡农贸市场
'jiu'bao'tong'jia'ba 九堡童家坝
'jiu'bao'wu'qu 九堡五区
'jiu'bao'wu'qu'nan 九堡五区南
'jiu'bao'yi'qu 九堡一区
'jiu'bao'zhen 九堡镇
'jiu'chang'lu'jiu'huan'lu'kou 九昌路九环路口
'jiu'che'shi'chang 旧车市场
'jiu'dian'dai'she'qu 酒店埭社区
'jiu'ding'shi'cai'shi'chang 九鼎石材市场
'jiu'fang'qiao 九房桥
'jiu'fu'lu'gong'jiao'zhan 九福路公交站
'jiu'hao'da'jie'liu'hao'lu'kou 九号大街六号路口
'jiu'hao'da'jie'nan'kou 九号大街南口
'jiu'hao'da'jie'si'hao'lu'kou 九号大街四号路口
'jiu'hao'lu'er'hao'da'jie'kou 九号路二号大街口
'jiu'hao'lu'liu'hao'da'jie'kou 九号路六号大街口
'jiu'hao'lu'si'hao'da'jie'kou 九号路四号大街口
'jiu'huan'lu'jiu'chang'lu'kou 九环路九昌路口
'jiu'huan'lu'jiu'he'lu'kou 九环路九和路口
'jiu'huan'lu'jiu'heng'lu'kou 九环路九横路口
'jiu'huan'lu'jiu'zhou'lu'kou 九环路九州路口
'jiu'jin'jie 久锦街
'jiu'jiu'he 九九河
'jiu'li'song 九里松
'jiu'lian'chi 九莲池
'jiu'lian'cun 桕联村
'jiu'lian'xin'cun 九莲新村
'jiu'lian'xin'cun'xi 九莲新村西
'jiu'long'cun 九龙村
'jiu'long'yi'yuan 九龙医院
'jiu'qiao'jie'sheng'jia'lu'kou 九乔街胜稼路口
'jiu'qu'ying'lu 九曲营路
'jiu'sheng'lu'sang'zhi'lu'kou 久盛路桑植路口
'jiu'sheng'qiao 九胜桥
'jiu'xi 九溪
'ju'li 巨利
'ju'zu 举足
'jue'si'an'nong 觉斯庵弄
'jun'min 军民
'jun'sha'lu'kou 军沙路口
'kai'fa'qu 开发区
'kai'fa'qu'guan'wei'hui 开发区管委会
'kai'fa'qu'guo'shui'ju 开发区国税局
'kai'fa'qu'yi'yuan 开发区医院
'kai'tie'xin'cun 凯铁新村
'kai'xuan'lu'bei'kou 凯旋路北口
'kai'xuan'xin'cun 凯旋新村
'kai'yuan'lu 开元路
'kai'yuan'lu'kou 开元路口
'kai'yuan'lu'kou 开源路口
'kai'yuan'ming'du 开元名都
'kan'shan'he 看山河
'kan'shan'tang'shang 坎山塘上
'kan'shan'xia'jie'cai'chang 坎山下街菜场
'kan'shan'yi'yuan 坎山医院
'kan'shan'yi'yuan 砍山医院
'kan'shan'zhen'pai 坎山镇牌
'kan'shan'zhen'zheng'fu 坎山镇政府
'kang'da'lu 康达路
'kang'da'su'jiao 康达塑胶
'kang'da'xin'cun 康达新村
'kang'hui'lu'kang'jing'lu'kou 康慧路康景路口
'kang'jia'qiao 康家桥
'kang'le'xiao'qu 康乐小区
'kang'le'xin'cun 康乐新村
'kang'men'shui'ku 康门水库
'kang'qiao 康桥
'kang'qiao'dong 康桥东
'kang'qiao'lu'kang'heng'lu'kou 康桥路康恒路口
'kang'qiao'zhen'zheng'fu 康桥镇政府
'kang'tai'lu'xing'guo'lu'kou 康泰路兴国路口
'kang'xin'lu'kou 康信路口
'kang'xin'lu'shun'feng'lu'kou 康信路顺风路口
'kang'xin'lu'xing'he'lu'kou 康信路星河路口
'kang'yuan'lu 康园路
'kang'zhong'lu 康中路
'kang'zhong'lu'kang'hui'lu'kou 康中路康慧路口
'kang'zhong'lu'kang'yuan'lu'kou 康中路康园路口
'ke'ji'da'dao'qing'shan'da'dao'kou 科技大道青山大道口
'ke'ji'da'dao'zhong'san'lu'kou 科技大道中三路口
'ke'li'hua'gong 科利化工
'ke'qiao'dao'kou 柯桥道口
'ke'yuan'lu 科园路
'ke'yun'nan'zhan 客运南站
'keng'xi 坑西
'keng'xi'qiao'tou 坑西桥头
'kong'hu'cun 孔湖村
'kong'jia'dai 孔家埭
'kong'jia'li'xi 孔家里西
'kong'jun'liao'yang'yuan 空军疗养院
'kua'hu'qiao 跨湖桥
'kuai'le'da'dao'lin'ding'lu'kou 快乐大道临丁路口
'kui'xiang 葵巷
'kui'xiang'jian'guo'lu'kou 葵巷建国路口
'kuo'ban'qiao'she'qu 阔板桥社区
'kuo'shi'ban 阔石板
'lai'shan'miao 来山庙
'lan'jin'lu'kou 兰锦路口
'lan'ling'fu'zhuang'chang 蓝领服装厂
'lan'tian'xue'xiao 蓝天学校
'lang'he'kou 浪河口
'lang'jia'bin 郎家滨
'lang'jia'dou 郎家阧
'lang'kou 浪口
'lang'ling'xia 廊岭下
'lang'peng 郎彭
'lang'peng'cun 郎彭村
'lao'bao'hong'xian'lu'kou 老包洪线路口
'lao'bao'lin'qiao 老宝林桥
'lao'bao'qiao 老鸨桥
'lao'bu'tou'cun 老埠头村
'lao'che'zhan 老车站
'lao'dian'li 老店里
'lao'dong'bao'zhang'guan'li'suo 劳动保障管理所
'lao'dong'da'lou 劳动大楼
'lao'dong'ju 劳动局
'lao'dong'men 老东门
'lao'dong'yue 老东岳
'lao'fang'li 老房里
'lao'gai'zhi'dui 劳改支队
'lao'ge'jia'cun 老葛家村
'lao'hu'cun 涝湖村
'lao'hu'dong'cun 老虎洞村
'lao'hu'dong'you'ke'zhong'xin 老虎洞游客中心
'lao'hu'she'qu 涝湖社区
'lao'huo'che'zhan 老火车站
'lao'jia'feng 劳家峰
'lao'pu'yan 老浦沿
'lao'qing'shan 老青山
'lao'san'zhong 老三中
'lao'suo'qian 老所前
'lao'wu'dong 老屋东
'lao'wu'xi 老屋西
'lao'xiao'dian 老小店
'lao'xiao'nan'zhan 老萧南站
'lao'ya'qiao 老鸦桥
'lao'yan'cang 老盐仓
'lao'ying'ju'yuan 老影剧院
'lao'yue'miao 老岳庙
'lao'zhen'zheng'fu 老镇政府
'le'he'qiao 乐和桥
'le'he'qiao 乐河桥
'le'he'qiao'nan 乐河桥南
'le'rong'gong'si 乐荣公司
'le'yuan 乐园
'le'yuan'xiao'qu 乐苑小区
'lei'feng'ta 雷峰塔
'leng'quan'ba 冷泉坝
'leng'shui'qiao 冷水桥
'li'bai'xiao 里白皛
'li'bai'zhang 里百丈
'li'er'cun 利二村
'li'fan 里畈
'li'hai'tou 里海头
'li'he'qi'chang 离合器厂
'li'heng'jie 里横街
'li'hong 里洪
'li'huang'miao 里皇庙
'li'jia'bang 李家浜
'li'jia'cun 李家村
'li'jia'dou 李家斗
'li'jia'jiao 李家角
'li'jia'qiao 李家桥
'li'jia'shi 李家石
'li'jia'tang 李家塘
'li'jia'wu 李家坞
'li'ming'cun 黎明村
'li'ren'bei'lu 里仁北路
'li'shan'cun 里山村
'li'shan'qiao 里山桥
'li'shi'hu 里士湖
'li'shi'qiao 李氏桥
'li'shui'bei'lu'long'teng'jie'kou 丽水北路龙腾街口
'li'shui'jin'hong'lu'kou 丽水锦鸿路口
'li'shui'lu'jin'hong'jie'kou 丽水路锦鸿街口
'li'tang'he 里塘河
'li'tou'jin 犁头金
'li'tou'jin'cun 犁头金村
'li'wang'qiao 李王桥
'li'xiang'che'cheng 理想车城
'li'xiang'pan'jia 李乡潘家
'li'xin'cun 立新村
'li'yu'shan 鲤鱼山
'lian'he 联合
'lian'he'cun 联合村
'lian'he'zu 联合组
'lian'hua'jie'gu'dun'lu'kou 莲花街古墩路口
'lian'ju'tang 连具塘
'lian'meng'xiao'qu 联盟小区
'lian'qiao 联桥
'lian'rong'jiu'zu 联荣九组
'lian'rong'yi'zu 联荣一组
'lian'san'cun 联三村
'lian'sheng'lu'kou 联胜路口
