'a'gong'yan 阿公岩
'li'zhi'jiao'zhan 荔枝角站
'li'zhi'keng 荔枝坑
'li'zhi'ling'lu 荔枝岭路
'li'zhi'lu 丽志路
'li'zhi'shan 荔枝山
'li'zhi'wo 荔枝窝
'li'zhi'yuan 荔枝园
'li'zhong'jie 利众街
'li'zu'dao 丽祖道
'lian'bang'guang'chang 联邦广场
'lian'bang'hua'yuan 联邦花园
'lian'bang'xin'lou 联邦新楼
'lian'cheng'dao 连城道
'lian'dao 连道
'lian'fa'jie 联发街
'lian'fu'dao 联福道
'lian'he'dao 联合道
'lian'he'dao'jin'xin'hui'yi'yuan 联合道浸信会医院
'lian'he'guang'chang 联合广场
'lian'he'shu'yuan 联合书院
'lian'he'xian'guan 莲鹤仙观
'lian'he'xu 联和墟
'lian'he'xu'qiu'chang 联和墟球场
'lian'he'xu'zong'zhan 联和墟总站
'lian'he'yi'yuan 联合医院
'lian'hua'di 莲花地
'lian'jie'jie 联接街
'lian'ka'fo 连卡佛
'lian'ren'jie 联仁街
'lian'tang'wei 莲塘尾
'lian'yun'jie 联运街
'liang'jie'hua'xiao'xue 梁洁华小学
'liang'jing'cun 良景邨
'liang'jing'cun'zong'zhan 良景邨总站
'liang'kuai'tian 两块田
'liang'sheng'de'zhong'xue 梁省德中学
'liang'shi'zhi'shu'yuan 梁式芝书院
'liang'wen'yan'zhong'xue 梁文燕中学
'liao'wang'tai 瞭望台
'lie'di'dun'dao 列堤顿道
'lin'an'fang 林安坊
'lin'cun'he 林村河
'lin'cun'he'pan 林村河畔
'lin'cun'xu'yuan'shu 林村许愿树
'lin'hu'ji'nian'zhong'xue 林护纪念中学
'lin'hua'jie'you'le'chang 临华街游乐场
'lin'jing'ge 林景阁
'lin'sheng'lu 林盛路
'lin'shi'de'ti'yu'guan 林士德体育馆
'lin'shi'de'yun'dong'chang 林士德运动场
'lin'shi'jie 林士街
'ling'ding'yang 伶仃洋
'ling'liang'tang 灵粮堂
'ling'nan'da'xue 岭南大学
'ling'nan'xiao'xue 岭南小学
'ling'nan'xue'yuan 岭南学院
'ling'nan'zhong'xue 岭南中学
'ling'pi 岭皮
'ling'shan 霊山
'ling'shi'yi'yuan 灵实医院
'ling'xiao'ge 凌霄阁
'ling'yin'si 灵隐寺
'ling'yu 陵羽
'ling'yun'si 凌云寺
'ling'zai 岭仔
'liu'fu'shan 流浮山
'liu'huang'fa'zhong'xue 刘皇发中学
'liu'keng 流坑
'liu'li'jie 琉璃街
'liu'shui'xiang 流水响
'liu'shui'xiang'dao 流水响道
'liu'xian'jie 留仙街
'long'bai'ge 龙栢阁
'long'bao 龙堡
'long'bao'guo'ji'bin'guan 龙宝国际宾馆
'long'chen'lu'ti'yu'guan 龙琛路体育馆
'long'de'yuan 龙德苑
'long'feng'hua'yuan 龙丰花园
'long'feng'tai 龙风台
'long'gu'tan 龙鼓滩
'long'heng 隆亨
'long'heng'cun 隆亨邨
'long'hua'jie 龙华街
'long'hui'lou 龙慧楼
'long'jing'lou 龙景楼
'long'man'lou 龙满楼
'long'men'jiu'dian 龙门酒店
'long'men'ju 龙门居
'long'men'ju'zong'zhan 龙门居总站
'long'men'tie'lu'zhan 龙门铁路站
'long'pan'jie 龙蟠街
'long'pan'yuan 龙蟠苑
'long'ping'dao 龙坪道
'long'rong'lou 龙荣楼
'long'ru'lu 龙如路
'long'shan'xiao'xue 龙山小学
'long'tao'hua'yuan 龙涛花园
'long'teng'ge 龙腾阁
'long'tian'cun 龙田村
'long'wei 龙尾
'long'wei'cun 龙尾村
'long'wo'cun 龙窝村
'long'xiang'guan'li'zhong'xue 龙翔官立中学
'long'xiang'yuan 龙翔苑
'long'xin'yuan'long'teng'ge 龙欣苑龙腾阁
'long'yi'lou 龙逸楼
'long'yue'tou 龙跃头
'long'zai 龙仔
'long'zhu'dao 龙珠岛
'long'zhu'jie 龙珠街
'long'zhu'jie'tao'yuan'jie 龙珠街桃源街
'lou'ti'jie 楼梯街
'lu'ci'tian 芦慈田
'lu'de'wei 路德围
'lu'he'cun 六合村
'lu'hu 鹿湖
'lu'jing 鹿颈
'lu'jing'cun 鹿颈村
'lu'kou 路口
'lu'ming'dao 露明道
'lu'ming'dao'gong'si'bian'dian'zhan 露明道公司变电站
'lu'quan'lou 禄泉楼
'lu'tian'ju'chang 露天剧场
'lu'ya'dao 卢押道
'lu'yi'ju 鹿怡居
'lu'yin'shan'zhuang 鹿茵山庄
'lun'dun'guang'chang 伦敦广场
'luo'bian'chen'dao 罗便臣道
'luo'hu 罗湖
'luo'hu'dang'xiao 罗湖党校
'luo'hu'dao 罗湖道
'luo'hu'huo'che'zhan 罗湖火车站
'luo'hu'qi'shu'hui 罗湖骑术会
'luo'hu'qu'wei'dang'xiao 罗湖区委党校
'luo'jia'yuan 罗家园
'luo'ke'da'sha 洛克大厦
'luo'ke'dao 骆克道
'luo'ke'dao'shi'zheng'da'sha 骆克道市政大厦
'luo'ke'zhan 落客站
'luo'lu'xia 落路下
'luo'lu'xia'cun 落路下村
'luo'ma'zhou 落马洲
'luo'ma'zhou'da'qiao 落马洲大桥
'luo'ma'zhou'huang'ba'zhan 落马洲皇巴站
'luo'ma'zhou'tie'lu'zhan'zong'zhan 落马洲铁路站总站
'luo'ma'zhou'zhi'xian 落马洲支线
'luo'ma'zhou'zhuan'che'zhan 落马洲转车站
'luo'ma'zhou'zong'zhan 落马洲总站
'luo'shan'dao 落山道
'luo'tuo'qi'da'sha 骆驼漆大厦
'luo'wu'cun 罗屋村
'luo'wu'min'su'guan 罗屋民俗馆
'luo'yang'jie 洛阳街
'luo'zhou 螺洲
'lv'guo'bi'feng'zhong'xue 吕郭碧凤中学
'lv'jing'jiu'dian 绿晶酒店
'lv'ming'cai'zhong'xue 吕明才中学
'lv'yang'xin'cun 绿杨新邨
'ma'an'shan 马鞍山
'ma'an'shan'gong'yuan 马鞍山公园
'ma'an'shan'guang'chang 马鞍山广场
'ma'an'shan'jing'shu 马鞍山警暑
'ma'an'shan'jing'shu 马鞍山警署
'ma'an'shan'shi'zhong'xin 马鞍山市中心
'ma'an'shan'shi'zhong'xin'ba'shi'zong'zhan 马鞍山市中心巴士总站
'ma'an'shan'shi'zhong'xin'zong'zhan 马鞍山市中心总站
'ma'an'shan'zhan 马鞍山站
'ma'an'shan'zhong'xin 马鞍山中心
'ma'bao'dao 马宝道
'ma'bu'wei 麻布尾
'ma'bu'wei'ba'shi'zhan 麻布尾巴士站
'ma'chang 马场
'ma'gong'ting 马公亭
'ma'gu'lan 马牯缆
'ma'heng'lu 妈横路
'ma'hui 马会
'ma'hui'tou'zhu'zhan 马会投注站
'ma'hui'zhen'suo 马会诊所
'ma'ji'xian'xia'dao 马己仙峡道
'ma'jia'lie'li'jing'da'lou 玛嘉烈荔景大楼
'ma'jia'lie'yi'yuan 玛嘉烈医院
'ma'jia'lie'yi'yuan'hu'shi'su'she 玛嘉烈医院护士宿舍
'ma'ke'ni'dao 马可尼道
'ma'keng'cun 马坑村
'ma'keng'cun'guan'ma'lou 马坑邨观马楼
'ma'keng'cun'jun'ma'lou 马坑邨骏马楼
'ma'keng'yong'dao 马坑涌道
'ma'li'man'xiao'xue 玛利曼小学
'ma'li'nuo 玛利诺
'ma'li'nuo'shen'fu'jiao'hui 马利诺神父教会
'ma'li'nuo'zhong'xue 玛利诺中学
'ma'li'yi'yuan 玛丽医院
'ma'li'yi'yuan'sha'xuan'dao 玛丽医院沙宣道
'ma'ling'jing 马铃径
'ma'miao'lu'shui'bian'wei'cun 妈庙路水边围邨
'ma'que'ling 麻雀岭
'ma'sha'bai'huo 马沙百货
'ma'shan'cun 马山村
'ma'shan'pai'lu 马闪排路
'ma'shi'dao 马师道
'ma'shi'zhou 马屎洲
'ma'shu'jie 孖庶街
'ma'tian'lu 马田路
'ma'tou 码头
'ma'tou'jiao'dao 马头角道
'ma'tou'tuan'dao 码头团道
'ma'tou'wei'cun'yang'kui'lou 马头围邨洋葵楼
'ma'tou'wei'dao 码头围道
'ma'tou'wei'dao 马头围道
'ma'tou'yong'dao 马头涌道
'ma'tou'yong'guan'li'xiao'xue 码头涌官立小学
'ma'wan 马湾
'ma'wan'da'jie'cun'bei 马湾大街村北
'ma'wan'ma'tou 马湾码头
'ma'wan'po'xin'lu 马湾珀欣路
'ma'wei'xia 马尾下
'ma'wo 马窝
'ma'wo'cun 马窝村
'ma'yan'ma'tou 马颜码头
'ma'you'tang 马游塘
'ma'you'tang'cun 马油塘村
'ma'you'tang'cun 马游塘村
'ma'zai'keng'you'le'chang 马仔坑游乐场
'mai'bian 麦边
'mai'dang'lao 麦当劳
'mai'dang'lao'dao 麦当劳道
'mai'dang'lao'dao'zhan 麦当劳道站
'mai'dang'nu 麦当奴
'mai'er'hao'yuan 迈尔豪园
'mai'hua'chen'you'le'chang 麦花臣游乐场
'mai'li'hao'fu'ren'du'jia'cun 麦理浩夫人渡假村
'mai'ya'mei'hai'wan 迈亚美海湾
'mai'ya'mei'hua'yuan 迈亚美花园
'man'ke'dun'da'sha 曼克顿大厦
'man'ke'dun'hua'yuan 曼克顿花园
'man'le'da'sha 满乐大厦
'mao'hu'zai 茅湖仔
'mao'hu'zai'cun 茅湖仔村
'mao'ping 茅坪
'mao'yi'guang'chang 贸易广场
'mei'cheng'yuan 美城苑
'mei'da'zhong'xin 美达中心
'mei'dao 梅道
'mei'dao'zhan 梅道站
'mei'de'lou 美德楼
'mei'dong'cun 美东邨
'mei'dong'lou 美东楼
'mei'feng'lou 美枫楼
'mei'fu 美孚
'mei'fu'ba'shi'zong'zhan 美孚巴士总站
'mei'fu'gang'tie'zhan 美孚港铁站
'mei'fu'tie'lu'zhan 美孚铁路站
'mei'fu'xin'cun 美孚新邨
'mei'fu'xin'cun'liu'qi 美孚新邨六期
'mei'gui'xin'cun 玫瑰新邨
'mei'guo'hui'suo 美国会所
'mei'guo'ling'shi'guan 美国领事馆
'mei'he'lou 美荷楼
'mei'hu'ju 美湖居
'mei'hua'gong'ye'da'sha 美华工业大厦
'mei'huai'lou 美槐楼
'mei'huan'jie 美环街
'mei'hui'ge 美晖阁
'mei'jing'hua'yuan 美景花园
'mei'jing'hua'yuan'ba'shi'zong'zhan 美景花园巴士总站
'mei'jing'tai 美景台
'mei'kang'ge 美康阁
'mei'li'da'sha 美利大厦
'mei'li'dao 美利道
'mei'li'dao 美荔道
'mei'li'dao'ting'che'chang 美利道停车场
'mei'li'dou 美丽都
'mei'li'dou'da'sha 美丽都大厦
'mei'li'ge 美丽阁
'mei'li'hua 美丽华
'mei'li'hua'da'sha 美丽华大厦
'mei'li'hua'shang'chang 美丽华商场
'mei'lin'ba'shi'zong'zhan 美林巴士总站
'mei'lin'cun 美林邨
'mei'lin'cun'mei'feng'lou 美林邨美枫楼
'mei'lin'xiao'xue 美林小学
'mei'luo'zhong'xin 美罗中心
'mei'qi'gong'si 煤气公司
'mei'shan'tong'dao 美善同道
'mei'song'yuan 美松苑
'mei'tao'lou 美桃楼
'mei'tian'ba'shi'zong'zhan 美田巴士总站
'mei'tian'cun 美田邨
'mei'tian'lu 美田路
'mei'wo 梅窝
'mei'wo'jie'shi 梅窝街市
'mei'wo'jing'shu 梅窝警署
'mei'wo'lv'shui'chang 梅窝虑水厂
'mei'wo'ma'tou 梅窝码头
'mei'wo'shu'shi'dang 梅窝熟食档
'mei'wo'yin'wan'cun 梅窝银湾邨
'mei'wo'zong'zhan 梅窝总站
'mei'xin 美心
'mei'xin'huang'gong 美心皇宫
'mei'xin'jiu'dian 美心酒店
'mei'yi'lou 美逸楼
'mei'yuan'xin'cun 美援新村
'mei'yue'hua'yuan 美乐花园
'mei'zhi'lou 美致楼
'mei'zi'lin 梅子林
'meng'gong'wu 孟公屋
'meng'yang'xiao'xue 蒙养小学
'meng'yang'xue'xiao 蒙养学校
'mi'dun 弥敦
'mi'dun'dao 弥敦道
'mi'dun'jiu'dian 弥敦酒店
'mi'pu 米埔
'mi'pu'long 米埔陇
'mian'deng 棉登
'mian'fang'jie 面房街
'mian'shui'pin 免税品
'mian'shui'pin'dian 免税品店
'miao'fa'si 妙法寺
'miao'jie 庙街
'miao'jie'shang'hai'jie 庙街上海街
'min'de'lu 民德路
'min'qiao'zhong'xue 闽侨中学
'min'sheng'shang'ye 民生商业
'min'sheng'shu'yuan 民生书院
'min'xin'jie 民新街
'min'xing'lou 民兴楼
'min'yue'lou 民乐楼
'ming'ai 明爱
'ming'ai'bin'guan 明爱宾馆
'ming'ai'sai'ma'hui'fu'wu'zhong'xin 明爱赛马会服务中心
'ming'ai'sai'ma'hui'su'she 明爱赛马会宿舍
'ming'ai'she'qu'fu'wu'zhong'xin 明爱社区服务中心
'ming'ai'yi'yuan 明爱医院
'ming'ai'yue'qun'xue'xiao 明爱乐群学校
'ming'ai'zhang'ao'wei'guo'ji'bin'guan 明爱张奥伟国际宾馆
'ming'ai'zhong'xin 明爱中心
'ming'bao 明报
'ming'bao'gong'ye'da'sha 明报工业大厦
'ming'bao'shi 名宝石
'ming'cheng 名城
'ming'cui'tai 明翠台
'ming'de'cun 明德村
'ming'de'cun 明德邨
'ming'de'shang'chang 明德商场
'ming'de'tai 明德台
'ming'de'xiao'xue 明德小学
'ming'de'yi'yuan 明德医院
'ming'dian'cheng 名店城
'ming'dian'fang 名店坊
'ming'du 名都
'ming'du'guang'chang 名都广场
'ming'du'shang'chang 名都商场
'ming'feng'jie 鸣凤街
'ming'hua'da'sha 明华大厦
'ming'hui'yuan 明慧园
'ming'hui'zhong'xin 明辉中心
'ming'ji'shu'yuan 铭基书院
'ming'ling'hao'yuan 名岭豪苑
'ming'lun'jie 明伦街
'ming'qin'lu 鸣琴路
'ming'qin'tie'lu'zhan 鸣琴铁路站
'ming'shi'hua'yuan 明仕花园
'ming'shun'cun 明顺村
'ming'wei'jing 明蔚径
'ming'xian'shu'yuan 铭贤书院
'ming'xing'hai'xian'fang 明星海鲜舫
'ming'xing'jiu'lou 明星酒楼
'ming'ya'yuan 明雅苑
'ming'yi'ju 名逸居
'ming'yuan'xi'jie 明园西街
'ming'zhu'cheng 明珠城
'ming'zhu'jiu'dian 明珠酒店
'mo'da'wan 模达湾
'mo'da'wan'ma'tou 模达湾码头
'mo'di'dao 麽地道
'mo'di'dao'zong'zhan 麽地道总站
'mo'dun'tai 摩顿台
'mo'fan'cun 模范邨
'mo'fan'li 模范里
'mo'fan'xiang 模范乡
'mo'fan'xiang'tian'qiao 模范乡天桥
'mo'jia 莫家
'mo'li'chen'shan'dao 摩利臣山道
'mo'shi'di'er'gong'yuan 摩士第二公园
'mo'shi'gong'yuan 摩士公园
'mo'shi'gong'yuan'lu'tian'ju'chang 摩士公园露天剧场
'mo'shi'gong'yuan'ti'yu'guan 摩士公园体育馆
'mo'shi'gong'yuan'yong'chi 摩士公园泳池
'mo'shi'gong'yuan'you'yong'chi 摩士公园游泳池
'mo'shi'lu'tian'ju'chang 摩士露天剧场
'mo'shi'shi'nei'ti'yu'guan 摩士室内体育馆
'mo'tian'da'sha 摩天大厦
'mo'xing'ling 摩星岭
'mo'xing'ling'dao 摩星岭道
'mo'xing'ling'jing 摩星岭径
'mu'chang'jie 木厂街
'mu'cheng'dao 睦诚道
'mu'cheng'jing 睦诚径
'mu'en'zhong'xue 沐恩中学
'mu'guang'shu'yuan 慕光书院
'mu'mian'tou 木棉头
'mu'mian'xia'cun 木棉下村
'mu'xing'jie 木星街
'mu'ying'jian'kang'yuan 母婴健康院
'na'da'su'yi'yuan 那打素医院
'nan'an'li 南安里
'nan'bian'wei 南边围
'nan'chang 南昌
'nan'chang'cun 南昌邨
'nan'chang'cun'shui'wu'shu 南昌邨水务署
'nan'chang'gong'yuan 南昌公园
'nan'chang'jie 南昌街
'nan'chang'tie'lu'zhan 南昌铁路站
'nan'chang'zhan 南昌站
'nan'dao'zhong'xue 南岛中学
'nan'feng 南风
'nan'feng'guang'chang 南丰广场
'nan'feng'shang'ye'zhong'xin 南丰商业中心
'nan'feng'zhong'xin 南丰中心
'nan'hai 南海
'nan'hua'gong'ye'da'sha 南华工业大厦
'nan'hua'pu 南华莆
'nan'hua'pu'gong'yuan 南华莆公园
'nan'hua'pu'qiao'di'ba'shi'zhan 南华莆桥底巴士站
'nan'hua'ti'yu'hui 南华体育会
'nan'hua'zao'bao 南华早报
'nan'hua'zhong'xue 南华中学
'nan'jiao'dao 南角道
'nan'jing'jie 南京街
'nan'kang'jie 南康街
'nan'keng 南坑
'nan'keng'cun 南坑村
'nan'keng'pai 南坑排
'nan'kui'yong'fen'ke'zhen'suo 南葵涌分科诊所
'nan'kui'yong'zhen'liao'suo 南葵涌诊疗所
'nan'lang 南朗
'nan'lang'shan'dao 南朗山道
'nan'lang'shan'dao'shu'shi'shi'chang 南朗山道熟食市场
'nan'ning'jie 南宁街
'nan'shan 南山
'nan'shan'bie'shu 南山别墅
'nan'shan'cun 南山村
'nan'shan'cun 南山邨
'nan'shan'cun'jie'shi 南山邨街市
'nan'shan'dong 南山洞
'nan'shan'san'wu'cun 南山三屋村
'nan'shan'xin'cun 南山新村
'nan'shan'ying'di 南山营地
'nan'shan'you'yong'hui 南山游泳会
'nan'shan'yuan 南山苑
'nan'she'tang 南蛇塘
'nan'sheng'jie 南盛街
'nan'sheng'wei'lu'kou 南生围路口
'nan'tao'ge 南涛阁
'nan'tian'zhu 南天竺
'nan'tong'yuan 男童院
'nan'wan 南湾
'nan'wei 南围
'nan'ya'dao 南丫岛
'nan'yang'jiu'dian 南洋酒店
'nan'yang'zhong'xin 南洋中心
'nan'yong 南涌
'nan'yuan 南苑
'nan'yuan'lang'guan'li'xiao'xue 南元朗官立小学
'nan'yun'lu 南运路
'nan'zha 南闸
'nei'he'ma'tou 内河码头
'neng'fu'ge 能富阁
'neng'ren'zhong'xue 能仁中学
'ni'wei 泥围
'ni'wei'tie'lu'zhan 泥围铁路站
'ni'yong 泥涌
'nian'zu'jie 念祖街
'niao'hu 鸟湖
'nie'ge'xin'shan'dao 聂歌信山道
'ning'bo'di'er'zhong'xue 宁波第二中学
'ning'feng'yuan 宁峰苑
'ning'yang'tai 宁养台
'ning'yuan'jie 宁远街
'niu'chi'wan'cun 牛池湾村
'niu'chi'wan'dao 牛池湾道
'niu'chi'wan'jie'shi 牛池湾街市
'niu'jin'dao 牛津道
'niu'jing 牛径
'niu'lan'wo 牛栏窝
'niu'nai'gong'si'bing'chang'ji'leng'fang 牛奶公司冰厂及冷房
'niu'nai'gong'si'dong'fang 牛奶公司冻房
'niu'pi'sha'cun 牛皮沙村
'niu'pi'sha'xin'cun 牛皮沙新村
'niu'tan'wei 牛潭尾
'niu'tou'jiao 牛头角
'niu'tou'jiao'di'tie'zhan 牛头角地铁站
'niu'tou'jiao'guan'li'xiao'xue 牛头角官立小学
'niu'tou'jiao'jie'shi 牛头角街市
'niu'tou'jiao'shang'cun 牛头角上邨
'niu'tou'jiao'shang'cun'chang'tai'lou 牛头角上邨常泰楼
'niu'tou'jiao'tie'lu'zhan 牛头角铁路站
'niu'tou'jiao'xia'cun 牛头角下邨
'niu'tou'jiao'zhan 牛头角站
'niu'tou'jiao'zong'zhan 牛头角总站
'niu'wei'xiang'gang 牛尾香港
'nong'pu'dao 农圃道
'nuo'shi 诺仕
'nv'qing'nian'hui 女青年会
'nv'tong'jun'xun'lian'zhong'xin 女童军训练中心
'pai'men 排门
'pai'tou'jie 排头街
'pan'feng 畔峰
'pan'shan'jing 畔山径
'pao'ma'di 跑马地
'pao'ma'di'dong'qing'dao 跑马地冬青道
'pao'ma'di'ma'chang 跑马地马场
'pao'ma'di'zong'zhan 跑马地总站
'pao'tai'jie 炮台街
'pao'tai'shan 炮台山
'pao'tai'shan'dao 炮台山道
'pao'tai'shan'tie'lu'zhan 炮台山铁路站
'pao'tai'shan'zhan 炮台山站
'pao'zhang'jie 炮仗街
'pei'cheng'lu 培成路
'pei'dao'zhong'xue 培道中学
'pei'qiao'xiao'xue 培侨小学
'pei'xian'li 培贤里
'pei'ying 培英
'pei'ying'zhong'xue 培英中学
'pei'you'you'er'yuan 培幼幼儿园
'pei'zheng'dao 培正道
'pei'zheng'zhong'xue 培正中学
'peng'cheng'yuan 鹏程苑
'peng'jia'cun 彭家村
'peng'lai'lu 蓬莱路
'peng'ying'xian'guan 蓬瀛仙馆
'pi'lin'xin'shi'jie'zhong'xin 毗邻新世界中心
'ping'chang'jing 屏昌径
'ping'hui'jie 屏会街
'ping'lan'jie 平澜街
'ping'lang 坪朗
'ping'lang'ba'shi'zhan 坪朗巴士站
'ping'lang'hua'yuan 坪朗花园
'ping'li'jing 屏丽径
'ping'shan 屏山
'ping'shan'ping'xing'li 屏山屏兴里
'ping'she 坪輋
'ping'she'hua'yuan 坪輋花园
'ping'she'yuan'xia'cun 坪輋元下村
'ping'she'zhong'dian'zhan 坪輋中电站
'ping'shi 坪石
'ping'shi'cun 坪石邨
'ping'shi'cun'cui'shi'lou 坪石邨翠石楼
'ping'shi'zong'zhan 坪石总站
'ping'tai'zong'zhan 平台总站
'ping'tian 平田
'ping'tian'jie 平田街
'ping'tian'xiao'ba'zong'zhan 平田小巴总站
'ping'yuan'lu 坪原路
'ping'zhen'lou 平真楼
'ping'zhi'jie 平治街
'ping'zhou 坪洲
'ping'zhou'ma'tou 坪洲码头
'po'li 珀丽
'po'li'wan 珀丽湾
'po'li'wan'du'lun'ma'tou 珀丽湾渡轮码头
'po'mian 坡面
'pu'ci'li 蒲慈里
'pu'fei'lu 蒲飞路
'pu'fei'lu'lu'kou'bo'fu'lin'dao 蒲飞路路口薄扶林道
'pu'gang'cun'dao'xue'xiao'cun 蒲岗村道学校村
'pu'gang'cun'dao'zu'qiu'chang 蒲岗邨道足球场
'pu'heng'li 蒲蘅里
'pu'le'bao'zhuang'rong'qi 普乐包装容器
'pu'le'li 普乐里
'pu'ren'jie 普仁街
'pu'shan'jie 普善街
'pu'sheng'wei 普盛围
'pu'tai 蒲台
'pu'tai'qun'dao 蒲台群岛
'pu'tao'yuan 葡萄园
'pu'tong'dao 普通道
'pu'yuan 蒲苑
'qi'ai 启爱
'qi'cheng'jie 启成街
'qi'de'hua'yuan 启德花园
'qi'de'zun'xin'cun 祁德尊新邨
'qi'de'zun'xin'cun 祈德尊新邨
'qi'fu'dao 启福道
'qi'hai'shang'ye'zhong'xin 七海商业中心
'qi'heng'lou 启恒楼
'qi'hua'bing'jia 奇华饼家
'qi'hui'lou 启辉楼
'qi'li'dao 启礼道
'qi'li'gong'ye'zhong'xin 启力工业中心
'qi'li'shi'dao 祈礼士道
'qi'lian'lou 启廉楼
'qi'lin'cun 麒麟村
'qi'lin'shan 麒麟山
'qi'lin'wei 麒麟围
'qi'lin'zhan 麒麟站
'qi'ling'xia'lao'wei 企岭下老围
'qi'ling'xia'xin'wei 企岭下新围
'qi'mian'lou 启勉楼
'qi'ming'jie 启明街
'qi'qian'lou 启谦楼
'qi'qu'tian'di 奇趣天地
'qi'ren'jie 启仁街
'qi'ren'lou 启仁楼
'qi'si'you'er'yuan 启思幼儿园
'qi'tai'yuan 启泰苑
'qi'tian 启田
'qi'tian'cun 启田邨
'qi'tian'cun'shang'chang 启田邨商场
'qi'tian'shang'chang 启田商场
'qi'wang'lou 启旺楼
'qi'xian'dao'nan 漆咸道南
'qi'xiang'zhan 气象站
'qi'xin'xuan 启欣轩
'qi'xing'gang 七星岗
'qi'ye'cun 启业邨
'qi'ye'guang'chang 企业广场
'qi'ye'guang'chang'wu'qi 企业广场五期
'qi'ye'guang'chang'yi'er'qi 企业广场一二期
'qi'ye'zong'zhan 启业总站
'qi'zi'mei'dao 七姊妹道
'qian'fa'dao 茜发道
'qian'qing'jian 牵晴间
'qian'se'dian 千色店
'qian'se'guang'chang 千色广场
'qian'shui'wan 浅水湾
'qian'shui'wan'bie'shu 浅水湾别墅
'qian'shui'wan'dao 浅水湾道
'qian'shui'wan'hai'tan 浅水湾海滩
'qian'ye'ju 千叶居
'qiang'hui'shan'jun'ying 枪会山军营
'qiao'di'dong'lin'yuan 桥底东霖苑
'qiao'fu'dao 侨福道
'qiao'fu'ge 侨福阁
'qiao'ju 桥咀
'qiao'tou 桥头
'qiao'xing'da'sha 侨兴大厦
'qin'hang'jie 琴行街
'qin'shi'ba'shi'zong'zhan 秦石巴士总站
'qin'shi'cun 秦石邨
'qin'shi'cun'shi'ying'lou 秦石邨石莹楼
'qin'wu 勤屋
'qin'xin'hui 侵信会
'qin'zhou'jie 钦州街
'qin'zhou'jie'xi 钦州街西
'qing'feng'jie 清风街
'qing'feng'jie'tian'qiao 清风街天桥
'qing'gui'keng'wei'cun'zhan 轻轨坑尾村站
'qing'hai'you'le'chang 清海游乐场
'qing'he'cun 清河邨
'qing'he'cun'zong'zhan 清河邨总站
'qing'hua'yuan 青华苑
'qing'hui'jie'ren'ai'jie'shi 青汇街仁爱街市
'qing'jing'lu 青敬路
'qing'li'shang'chang 清丽商场
'qing'li'yuan 清丽苑
'qing'lin'lu 青麟路
'qing'long'ma'tou 青龙码头
'qing'long'tou 青龙头
'qing'long'tou'cun 青龙头村
'qing'long'tou'hao'jing'hua'yuan 青龙头豪景花园
'qing'ma'da'qiao 青马大桥
'qing'ma'shou'fei'guang'chang 青马收费广场
'qing'nian'guang'chang 青年广场
'qing'nian'hui 青年会
'qing'nian'hui'bin'guan 青年会宾馆
'qing'nian'ying 青年营
'qing'rong'jie 青榕街
'qing'shan'cun 青山村
'qing'shan'dao 青山道
'qing'shan'dao'ai'suo'jia'you'zhan 青山道埃索加油站
'qing'shan'dao'ai'suo'you'zhan 青山道埃索油站
'qing'shan'gong'lu 青山公路
'qing'shan'gong'lu'shen'jing'duan 青山公路深井段
'qing'shan'gong'lu'ting'jiu'duan 青山公路汀九段
'qing'shan'shi'lu 青山石路
'qing'shan'wan 青山湾
'qing'shan'wan'ma'tou 青山湾码头
'qing'shan'yi'yuan 青山医院
'qing'shan'you'le'chang 青善游乐场
'qing'sheng'yuan 青盛苑
'qing'shui'wan 清水湾
'qing'shui'wan'ban'dao 清水湾半岛
'qing'shui'wan'bu'dai'ao'zong'zhan 清水湾布袋澳总站
'qing'shui'wan'dao 清水湾道
'qing'shui'wan'di'er'tan'zong'zhan 清水湾第二滩总站
'qing'shui'wan'di'yi'tan 清水湾第一滩
'qing'shui'wan'er'tan 清水湾二滩
'qing'shui'wan'xiang'cun'ju'le'bu 清水湾乡村俱乐部
'qing'shui'wan'yi'tan 清水湾一滩
'qing'shui'wan'zong'zhan 清水湾总站
'qing'song'guan 青松观
'qing'song'zhan 青松站
'qing'song'zhong'xue 青松中学
'qing'tai'lu 青泰路
'qing'tai'yuan 青泰苑
'qing'tao'lou 青桃楼
'qing'tian'ban'dao 擎天半岛
'qing'tian'you'le'chang 青田游乐场
'qing'tie'che'chang'zhan 轻铁车厂站
'qing'tie'feng'di'zhan 轻铁凤地站
'qing'tie'hong'shui'qiao'zhan 轻铁洪水桥站
'qing'tie'hu'die'zhan 轻铁蝴蝶站
'qing'tie'jian'an'zhan 轻铁建安站
'qing'tie'keng'wei'cun'zhan 轻铁坑尾村站
'qing'tie'long'men'zhan 轻铁龙门站
'qing'tie'ming'qin'zhan 轻铁鸣琴站
'qing'tie'ping'shan'zhan 轻铁屏山站
'qing'tie'qi'lin'zhan 轻铁麒麟站
'qing'tie'qing'yun'zhan 轻铁青云站
'qing'tie'san'sheng'zhan 轻铁三圣站
'qing'tie'shi'pai'zhan 轻铁石排站
'qing'tie'shi'zhong'xin'zhan 轻铁市中心站
'qing'tie'shui'bian'wei'zhan 轻铁水边围站
'qing'tie'tian'ci'zhan 轻铁天慈站
'qing'tie'tian'jing'zhan 轻铁田景站
'qing'tie'tian'yao'zhan 轻铁天耀站
