'ai'er'bu'lang'ji 埃尔布朗基
'luo'ji'shu'ju'du'li'xing 逻辑数据独立性
'luo'ji'shu'ru'she'bei 逻辑输入设备
'luo'ji'shu'ru'shu'chu'she'bei 逻辑输入输出设备
'luo'ji'tan'tou 逻辑探头
'luo'ji'tan'tou'zhi'shi'qi 逻辑探头指示器
'luo'ji'tui'li 逻辑推理
'luo'ji'wei'ben'yu'fa 逻辑为本语法
'luo'ji'wen'jian 逻辑文件
'luo'ji'xin'ling'xin'dao 逻辑信令信道
'luo'ji'xi'tong 逻辑系统
'luo'ji'yan'suan 逻辑演算
'luo'ji'yan'zheng'xi'tong 逻辑验证系统
'luo'ji'ye 逻辑页
'luo'ji'yi'wei 逻辑移位
'luo'ji'yu'fa 逻辑语法
'luo'ji'yun'han 逻辑蕴涵
'luo'ji'yun'suan 逻辑运算
'luo'ji'yun'suan'fu 逻辑运算符
'luo'ji'zha'dan 逻辑炸弹
'luo'ji'zhen'lie'wang'lu 逻辑阵列网路
'luo'ji'zhi 逻辑值
'luo'ji'zhuang'tai'fen'xi'yi 逻辑状态分析仪
'luo'ji'zong'he 逻辑综合
'luo'ji'zong'he'zi'dong'hua 逻辑综合自动化
'luo'ji'zuo'biao 逻辑坐标
'lu'ou'ru'chong 鲁欧蠕虫
'luo'xuan'ci'dao 螺旋磁道
'luo'xuan'mo'xing 螺旋模型
'luo'xuan'sao'miao 螺旋扫描
'lu'you 路由
'lu'you'biao 路由表
'lu'you'fa 路游法
'lu'you'geng'xin'xie'yi 路由更新协议
'lu'you'kong'zhi'ji'zhi 路由控制机制
'lu'you'qi 路由器
'lu'you'xie'yi 路由协议
'lu'you'xin'xi'xie'yi 路由信息协议
'lu'you'xuan'ze 路由选择
'lu'you'xuan'ze'suan'fa 路由选择算法
'lu'you'xuan'ze'xie'yi 路由选择协议
'lu'you'xuan'ze'xin'xi'xie'yi 路由选择信息协议
'lv'bo'qi 滤波器
'lv'jing 滤镜
'lv'jing'cao'zuo 滤镜操作
'lv'jing'ku 滤镜库
'lv'se'ban 绿色版
'lv'se'ji'suan'ji 绿色计算机
'lv'se'liu'lan'qi 绿色浏览器
'lv'xing'shang'wen'ti 旅行商问题
'ma'ben 码本
'ma'biao 码表
'ma'du'li'shu'ju'tong'xin 码独立数据通信
'ma'duo'fen'zhi 码多分址
'ma'fen'duo'zhi 码分多址
'ma'he'dai 马赫带
'ma'he'dai'xiao'ying 马赫带效应
'mai'ceng'si'fu 埋层伺服
'mai'chong 脉冲
'mai'chong'bu'jin 脉冲步进
'mai'chong'fu'du 脉冲幅度
'mai'chong'kong'zhi'ji'shu 脉冲控制技术
'mai'chong'kuan'du 脉冲宽度
'mai'chong'pin'lv 脉冲频率
'mai'chong'xiao'ying 脉冲效应
'mai'chong'zao'sheng 脉冲噪声
'mai'dong'jiang'shi'ji 脉动僵尸机
'mai'dong'suan'fa 脉动算法
'mai'dong'zhen'lie 脉动阵列
'mai'dong'zhen'lie'jie'gou 脉动阵列结构
'mai'ma'tiao'zhi 脉码调制
'ma'ji'si 马吉斯
'ma'ke'fu'tu 马可夫图
'man'fan'she'guang 漫反射光
'man'gan'gong'ji 蛮干攻击
'mang'da 盲打
'mang'deng'dai 忙等待
'mang'mu'sou'suo 盲目搜索
'mang'qian 盲签
'man'ha'dun'ju'li 曼哈顿距离
'man'li'gong'ji 蛮力攻击
'man'su'you'di 慢速邮递
'man'you 漫游
'mao'chong 冒充
'mao'ci 毛刺
'mao'ma 冒码
'mao'mai'chong 冒脉冲
'mao'ming 冒名
'mao'pao 冒泡
'mao'pao'pai'xu 冒泡排序
'mao'xian 冒险
'ma'shan'chu 码删除
'ma'tou'ming'shu'ju'tong'xin 码透明数据通信
'ma'wen 码文
'ma'ya 玛雅
'ma'yuan 码元
'ma'yuan'chuan 码元串
'ma'yuan'ji 码元集
'ma'zi 码字
'mei'guo 美国
'mei'guo'guo'jia'biao'zhun'xie'hui 美国国家标准协会
'mei'guo'shu'ju'jia'mi'biao'zhun 美国数据加密标准
'mei'guo'wei'ruan'gong'si 美国微软公司
'mei'guo'xin'xi'jiao'huan'biao'zhun'ma 美国信息交换标准码
'mei'jie'yu 媒介语
'mei'ju 枚举
'mei'ju'bian'liang 枚举变量
'mei'ju'fu 枚举符
'mei'ju'jin'cheng 枚举进程
'mei'ju'zi'cheng'xu 枚举子程序
'mei'le'si'mu'ma 梅勒斯木马
'mei'li'xiu 美丽秀
'mei'shen'fen 没身份
'mei'ti 媒体
'mei'ti'bo'fang 媒体播放
'mei'ti'fang'wen'kong'zhi 媒体访问控制
'mei'ti'fang'wen'kong'zhi'xie'yi 媒体访问控制协议
'mei'ti'jie'kou'lian'jie'qi 媒体接口连接器
'mei'ti'kong'zhi'jie'kou 媒体控制接口
'mei'ti'kong'zhi'qu'dong'qi 媒体控制驱动器
'mei'ti'ku 媒体库
'mei'ti'qi'ta 媒体其它
'mei'ti'xiang'guan'jie'kou 媒体相关接口
'mei'ya'jun'shi 美亚军事
'meng'gu'wen 蒙古文
'meng'huan'zhi'jia 梦幻之家
'meng'ta'ge'yu'fa 蒙塔格语法
'meng'ta'gu'yu'fa 蒙塔古语法
'meng'tai'jiu'yu'fa 蒙泰究语法
'men'hu'wang'zhan 门户网站
'men'yan'chi 门延迟
'men'zhen'lie 门阵列
'mian'biao 面表
'mian'ci'fu 面伺服
'mian'fei'ban 免费版
'mian'fei'duan'xin 免费短信
'mian'fei'ruan'jian 免费软件
'mian'fei'wang 免费网
'mian'guang'yuan 面光源
'mian'guo'lv 免过滤
'mian'jian'suo 面检索
'mian'mi'du 面密度
'mian'xiang'bi'te'xie'yi 面向比特协议
'mian'xiang'dai'shu'yu'yan 面向代数语言
'mian'xiang'dui'hua'mo'xing 面向对话模型
'mian'xiang'dui'xiang 面向对象
'mian'xiang'dui'xiang'bian'cheng 面向对象编程
'mian'xiang'dui'xiang'bian'cheng'yu'yan 面向对象编程语言
'mian'xiang'dui'xiang'biao'shi 面向对象表示
'mian'xiang'dui'xiang'cao'zuo'xi'tong 面向对象操作系统
'mian'xiang'dui'xiang'ce'shi 面向对象测试
'mian'xiang'dui'xiang'cheng'xu'she'ji 面向对象程序设计
'mian'xiang'dui'xiang'de 面向对象的
'mian'xiang'dui'xiang'de'fen'bu'xi'tong'ying'yong 面向对象的分布系统应用
'mian'xiang'dui'xiang'de'ti'xi'jie'gou 面向对象的体系结构
'mian'xiang'dui'xiang'fang'fa 面向对象方法
'mian'xiang'dui'xiang'fen'xi 面向对象分析
'mian'xiang'dui'xiang'jian'mo 面向对象建模
'mian'xiang'dui'xiang'she'ji 面向对象设计
'mian'xiang'dui'xiang'shu'ju 面向对象数据
'mian'xiang'dui'xiang'shu'ju'ku 面向对象数据库
'mian'xiang'dui'xiang'shu'ju'ku'yu'yan 面向对象数据库语言
'mian'xiang'dui'xiang'shu'ju'mo'xing 面向对象数据模型
'mian'xiang'dui'xiang'yu'yan 面向对象语言
'mian'xiang'fang'mian 面向方面
'mian'xiang'fang'mian'bian'cheng 面向方面编程
'mian'xiang'fang'mian'de 面向方面的
'mian'xiang'fen'xi 面向分析
'mian'xiang'fen'xi'de 面向分析的
'mian'xiang'fen'xi'de'she'ji 面向分析的设计
'mian'xiang'gong'neng'ceng'ci'mo'xing 面向功能层次模型
'mian'xiang'gou'jian 面向构件
'mian'xiang'gou'jian'bian'cheng 面向构件编程
'mian'xiang'gou'jian'de 面向构件的
'mian'xiang'guo'cheng 面向过程
'mian'xiang'guo'cheng'bian'cheng 面向过程编程
'mian'xiang'guo'cheng'de 面向过程的
'mian'xiang'guo'cheng'mo'xing 面向过程模型
'mian'xiang'guo'cheng'yu'yan 面向过程语言
'mian'xiang'jie'kou 面向接口
'mian'xiang'jie'kou'bian'cheng 面向接口编程
'mian'xiang'jie'kou'de 面向接口的
'mian'xiang'ji'qi'yu'yan 面向机器语言
'mian'xiang'kong'zhi 面向控制
'mian'xiang'kong'zhi'de 面向控制的
'mian'xiang'kong'zhi'de'ti'xi'jie'gou 面向控制的体系结构
'mian'xiang'lian'jie 面向连接
'mian'xiang'lian'jie'de'mo'shi 面向连接的模式
'mian'xiang'lian'jie'xie'yi 面向连接协议
'mian'xiang'shu'ju'jie'gou 面向数据结构
'mian'xiang'shu'ju'jie'gou'de 面向数据结构的
'mian'xiang'shu'ju'jie'gou'de'fang'fa 面向数据结构的方法
'mian'xiang'wei 面向位
'mian'xiang'wen'ti'yu'yan 面向问题语言
'mian'xiang'ying'yong'yu'yan 面向应用语言
'mian'xiang'yong'hu 面向用户
'mian'xiang'yong'hu'ce'shi 面向用户测试
'mian'xiang'zhi'shi'ti'xi'jie'gou 面向知识体系结构
'mian'xiang'zhi'zao 面向制造
'mian'xiang'zhi'zao'de 面向制造的
'mian'xiang'zhi'zao'de'she'ji 面向制造的设计
'mian'xiang'zhuang'pei 面向装配
'mian'xiang'zhuang'pei'de 面向装配的
'mian'xiang'zhuang'pei'de'she'ji 面向装配的设计
'mian'xiang'zhu'ti 面向主体
'mian'xiang'zi'fu 面向字符
'mian'xiang'zi'fu'xie'yi 面向字符协议
'mian'xing'tu'xiang'chuan'gan'qi 面型图像传感器
'mian'yang 绵羊
'miao'hui'qi 描绘器
'miao'shu'fang'fa 描述方法
'miao'shu'fu'biao 描述符表
'miao'shu'xin'xi'kuai 描述信息块
'miao'xie'yu'yan'xue 描写语言学
'mi'du'bi'lv 密度比率
'mie'dian 灭点
'mi'feng 密封
'mi'feng'da'dao'mu'ma 蜜蜂大盗木马
'mi'feng'jiao 密封胶
'mi'feng'lei 密封类
'mi'feng'lian'jie'qi 密封连接器
'mi'feng'qi 密封器
'mi'guan'cheng'xu 蜜罐程序
'mi'guan'ji'shu 蜜罐技术
'mi'guan'wang'luo 蜜罐网络
'mi'guan'wang'luo'gong'cheng 蜜罐网络工程
'mi'ji 密级
'mi'jing'qu'zheng 蜜阱取证
'mi'ji'shu'ju 密级数据
'mi'ji'xin'xi 密级信息
'mi'li'ji 米利机
'mi'li'ji'qi 米利机器
'mi'ma 密码
'mi'ma'bao'mi 密码保密
'mi'ma'chuan'zhen 密码传真
'mi'ma'duan'yu 密码短语
'mi'ma'fen'xi 密码分析
'mi'ma'fen'xi'gong'ji 密码分析攻击
'mi'ma'gong'ji 密码攻击
'mi'ma'guo'qi 密码过期
'mi'ma'hun'luan 密码混乱
'mi'ma'jian'yan'he 密码检验和
'mi'ma'jiao'yan'he 密码校验和
'mi'ma'jie 密码界
'mi'ma'ji'shu 密码技术
'mi'ma'kuai'lian'jie 密码块链接
'mi'ma'lie'biao'wen'jian 密码列表文件
'mi'ma'mu'jian 密码模件
'mi'ma'po'yi'qi 密码破译器
'mi'ma'she'shi 密码设施
'mi'ma'shi 密码师
'mi'ma'shu 密码术
'mi'ma'shu'ru'kuang 密码输入框
'mi'ma'suan'fa 密码算法
'mi'ma'suan'fa'huo'san'lie 密码算法或散列
'mi'ma'ti'zhi 密码体制
'mi'ma'tong'bu 密码同步
'mi'ma'wen'ben 密码文本
'mi'ma'xie'chu'li'qi 密码协处理器
'mi'ma'xi'tong 密码系统
'mi'ma'xiu'ting 密码嗅听
'mi'ma'xuan'ze'gong'ji 密码选择攻击
'mi'ma'xue 密码学
'mi'ma'yan'zheng'xie'yi 密码验证协议
'mi'ma'you'xiao'qi 密码有效期
'mi'ma'yuan 密码员
'mi'mi'ji 秘密级
'mi'mi'kou'ling 秘密口令
'mi'mi'mi'yao 秘密密钥
'mi'mi'xing 秘密性
'ming'an'chu'li 明暗处理
'min'gan'du 敏感度
'min'gan'gu'zhang 敏感故障
'min'gan'shu'ju 敏感数据
'min'gan'tu'an 敏感图案
'min'gan'xing 敏感性
'min'gan'xin'xi 敏感信息
'min'gan'yuan'jian 敏感元件
'min'gan'yuan'jian'jie'kou 敏感元件接口
'ming'cheng'ji'gou 名称机构
'ming'ci'duan'yu 名词短语
'ming'ci'zu 名词组
'ming'diao'yong 名调用
'ming'ling 命令
'ming'ling'chong'shi 命令重试
'ming'ling'chu'li'cheng'xu 命令处理程序
'ming'ling'diao'yong'zhuan'xiang 命令调用转向
'ming'ling'hang 命令行
'ming'ling'hang'jie'kou 命令行接口
'ming'ling'hang'jie'mian 命令行界面
'ming'ling'huan'chong'qu 命令缓冲区
'ming'ling'jie'kou 命令接口
'ming'ling'jie'shi'cheng'xu 命令解释程序
'ming'ling'ji'yu'yan 命令级语言
'ming'ling'kong'zhi'kuai 命令控制块
'ming'ling'kong'zhi'xi'tong 命令控制系统
'ming'ling'ti'shi'fu 命令提示符
'ming'ling'xi'tong 命令系统
'ming'ling'yu'yan 命令语言
'ming'ling'zuo'ye 命令作业
'ming'lu'fu'wu 名录服务
'ming'ma'wen'ben 明码文本
'ming'ming'fu'wu 命名服务
'ming'ming'guan'dao 命名管道
'ming'ming'kong'jian 命名空间
'ming'ming'rong'qi 命名容器
'ming'ming'yue'ding 命名约定
'ming'pai'qi'pian 名牌欺骗
'ming'pai'qi'pian'gong'ji 名牌欺骗攻击
'ming'ti'luo'ji 命题逻辑
'ming'ti'yan'suan 命题演算
'ming'wen 明文
'ming'wen'gong'ji 明文攻击
'ming'xing'zhui'zong 明星追踪
'ming'zhong'lv 命中率
'ming'zi'chou'qu 名字抽取
'min'hua 敏化
'mi'ni'kuai'che 迷你快车
'min'zu'yu'yan'zhi'cheng'neng'li 民族语言支撑能力
'mi'qie'ping'mian 密切平面
'mi'san'geng'xin'suan'fa 弥散更新算法
'mi'shi'xiao'xi 迷失消息
'mi'wen 密文
'mi'wen'fan'kui 密文反馈
'mi'wen'fen'zu'lian'jie 密文分组链接
'mi'yao 密钥
'mi'yao'chang'du 密钥长度
'mi'yao'duan'yu 密钥短语
'mi'yao'dui 密钥对
'mi'yao'fen'pei'zhong'xin 密钥分配中心
'mi'yao'fu'wu'qi 密钥服务器
'mi'yao'gong'zheng 密钥公证
'mi'yao'huan 密钥环
'mi'yao'hui'fu 密钥恢复
'mi'yao'jia'mi'mi'yue 密钥加密密钥
'mi'yao'jiao'huan 密钥交换
'mi'yao'liu 密钥流
'mi'yao'sou'suo'gong'ji 密钥搜索攻击
'mi'yao'tuo'guan 密钥托管
'mi'yao'zheng'shu 密钥证书
'mi'yue'bao'hu 密钥保护
'mi'yue'chuan'shu 密钥传输
'mi'yue'diao'du 密钥调度
'mi'yue'diao'du'suan'fa 密钥调度算法
'mi'yue'fa 密钥法
'mi'yue'fa'bu 密钥发布
'mi'yue'fen'fa'zhong'xin 密钥分发中心
'mi'yue'fen'pei 密钥分配
'mi'yue'guan'li 密钥管理
'mi'yue'hui'fu'xin'xi 密钥恢复信息
'mi'yue'jian'li 密钥建立
'mi'yue'ka 密钥卡
'mi'yue'kong'jian 密钥空间
'mi'yue'she'zhi'xie'yi 密钥设置协议
'mi'yue'wen'jian 密钥文件
'mo'ca'shu'zhi 摩擦输纸
'mo'duan'qi 末端器
'mo'er'dian'gong'xue'yuan 莫尔电工学院
'mo'er'ding'lv 摩尔定律
'mo'er'ji 摩尔机
'mo'gu'ban 魔固版
'mo'hu 模糊
'mo'hu'cha'xun 模糊查询
'mo'hu'cha'xun'yu'yan 模糊查询语言
'mo'hu'cha'zhao 模糊查找
'mo'hu'hua 模糊化
'mo'hu'ji 模糊集
'mo'hu'ji'he'lun 模糊集合论
'mo'hu'kong'zhi 模糊控制
'mo'hu'luo'ji 模糊逻辑
'mo'hu'shen'jing'wang'luo 模糊神经网络
'mo'hu'shu'ju 模糊数据
'mo'hu'shu'ju'ku 模糊数据库
'mo'hu'shu'xue 模糊数学
'mo'hu'song'chi'fa 模糊松弛法
'mo'hu'sou'suo 模糊搜索
'mo'hu'tui'li 模糊推理
'mo'hu'xing 模糊性
'mo'hu'yi'chuan'xi'tong 模糊遗传系统
'mo'hu'zhuan'jia'xi'tong'qu'zheng 模糊专家系统取证
'mo'ji 魔集
'mo'kuai 模块
'mo'kuai'ce'shi 模块测试
'mo'kuai'fen'jie 模块分解
'mo'kuai'hua 模块化
'mo'kuai'hua'cheng'xu'she'ji 模块化程序设计
'mo'kuai'hua'fang'fa 模块化方法
'mo'kuai'qiang'du 模块强度
'mo'kuai'xing 模块性
'mo'ni 模拟
'mo'ni'cheng'xu 模拟程序
'mo'ni'ji'suan'ji 模拟计算机
'mo'ni'kong'zhi'ji'shu 模拟控制技术
'mo'ni'mo'hei 模拟墨黑
'mo'ni'qi 模拟器
'mo'ni'shi 模拟式
'mo'ni'shu'chu 模拟输出
'mo'ni'shu'ru 模拟输入
'mo'ni'tui'huo 模拟退火
'mo'ni'xin'hao 模拟信号
'mo'ni'xi'tong 模拟系统
'mo'ni'yan'zheng'fang'fa 模拟验证方法
'mo'ni'yu'yan 模拟语言
'mo'ni'zhe 模拟者
'mo'ni'zhi'bai 模拟纸白
'mo'qi'le 莫奇勒
'mo'ren 默认
'mo'ren'an'niu 默认按钮
'mo'ren'da'xiao 默认大小
'mo'ren'liu'lan'qi 默认浏览器
'mo'ren'mi'ma 默认密码
'mo'ren'pi'fu 默认皮肤
'mo'ren'tui'li 默认推理
'mo'rong'yu 模冗余
'mo'shi 模式
'mo'shi'fen'lei 模式分类
'mo'shi'fen'xi 模式分析
'mo'shi'gai'nian 模式概念
'mo'shi'ji'yuan 模式基元
'mo'shi'miao'shu 模式描述
'mo'shi'min'gan'gu'zhang 模式敏感故障
'mo'shi'min'gan'xing 模式敏感性
'mo'shi'pi'pei 模式匹配
'mo'shi'shi'bie 模式识别
'mo'shi'sou'suo 模式搜索
'mo'shui'guan 墨水罐
'mo'shui'he 墨水盒
'mo'shu'zhuan'huan 模数转换
'mo'shu'zhuan'huan'qi 模数转换器
'mo'sun'shi'xiao 磨损失效
'mo'tai 模态
'mo'tai'luo'ji 模态逻辑
'mo'tou 抹头
'mo'xing 模型
'mo'xing'bian'huan 模型变换
'mo'xing'biao'shi 模型表示
'mo'xing'can'kao'zi'shi'ying 模型参考自适应
'mo'xing'ding'xing'tui'li 模型定性推理
'mo'xing'jian'hua 模型简化
'mo'xing'ku 模型库
'mo'xing'ku'guan'li'xi'tong 模型库管理系统
'mo'xing'lun 模型论
'mo'xing'lun'yu'yi 模型论语义
'mo'xing'qu'dong 模型驱动
'mo'xing'qu'dong'fang'fa 模型驱动方法
'mo'xing'sheng'cheng'qi 模型生成器
'mo'xing'shi'bie 模型识别
'mo'xing'yin'dao'tui'li 模型引导推理
'mo'yu'mu'ma 魔域木马
'mo'zhe'an'quan'zhuan'jia 墨者安全专家
'mo'zu'xing 模组性
'mu'ban 模板
'mu'ban 母板
'mu'ban'fang'fa 模板方法
'mu'ban'hua'kong'jian 模板化控件
'mu'ban'jie'dian 模板节点
'mu'ban'ku 模板库
'mu'ban'ye 母版页
'mu'ban'yin'qing 模板引擎
'mu'biao 目标
'mu'biao'cheng'xu 目标程序
'mu'biao'dao'xiang'tui'li 目标导向推理
'mu'biao'dui'xiang 目标对象
'mu'biao'fan'li'ku 目标范例库
'mu'biao'hui'gui 目标回归
'mu'biao'ji 目标机
'mu'biao'ji 目标集
'mu'biao'ji'suan'ji 目标计算机
'mu'biao'lu'jing 目标路径
'mu'biao'mu'lu 目标目录
'mu'biao'qu'dong 目标驱动
'mu'biao'tan'ce 目标探测
'mu'biao'xi'tong 目标系统
'mu'biao'yin'dao'xing'wei 目标引导行为
'mu'biao'yu'sheng'cheng 目标语生成
'mu'biao'yu'shu'chu 目标语输出
'mu'biao'yu'yan 目标语言
'mu'biao'yu'yan'ci'dian 目标语言词典
'mu'biao'zi'ju 目标子句
'mu'di'di'zhi 目的地址
'mu'di'fu'wu'fang'wen'zhan'dian 目的服务访问站点
'mu'ju'she'ji 模具设计
'mu'lu 目录
'mu'lu'fu'wu 目录服务
'mu'lu'fu'zhi 目录复制
'mu'lu'pai'xu 目录排序
'mu'lu'shou'ji'gong'ji 目录收集攻击
'mu'ma 木马
'mu'ma'ke'xing 木马克星
'mu'yu 母语
'nai'kui'si'te'cai'yang'pin'lv 奈奎斯特采样频率
'nai'kui'si'te'zhun'ze 奈奎斯特准则
'nan'jie'xing'wen'ti 难解型问题
'nan'jing'da'xue 南京大学
'nan'jing'da'xue'chu'ban'she 南京大学出版社
'nan'jing'da'xue'ruan'jian'xue'yuan 南京大学软件学院
'nan'kai'da'xue 南开大学
'nan'kai'da'xue'chu'ban'she 南开大学出版社
'nan'kai'da'xue'ruan'jian'xue'yuan 南开大学软件学院
'nao'cheng'xiang 脑成像
'nao'dian'bo'jian'ce'yi 脑电波检测仪
'nao'gong'neng'mo'kuai 脑功能模块
'nao'jin'cheng 挠进程
'nao'ke'xue 脑科学
'nao'mo'xing 脑模型
'nei'bu'an'quan'xing 内部安全性
'nei'bu'ce'shi 内部测试
'nei'bu'ce'shi'de'zu'zhi'shi'shi 内部测试的组织实施
'nei'bu'dui'xiang 内部对象
'nei'bu'han'shu 内部函数
'nei'bu'ji 内部级
'nei'bu'ji'cun'qi 内部寄存器
'nei'bu'lei 内部类
'nei'bu'sui'pian 内部碎片
'nei'bu'wang'guan'lian'jie'qi'xie'yi 内部网关连接器协议
'nei'bu'wang'guan'xie'yi 内部网关协议
'nei'bu'wei'xie 内部威胁
'nei'bu'yang'shi 内部样式
'nei'bu'yang'shi'biao 内部样式表
'nei'bu'zhuan'fa 内部转发
'nei'bu'zong'xian 内部总线
'nei'cai'jian 内裁剪
'nei'cun 内存
'nei'cun'bao'hu 内存保护
'nei'cun'cha'cao 内存插槽
'nei'cun'fen'pei'fu'gai 内存分配覆盖
'nei'cun'mo'kuai 内存模块
'nei'cun'sui'pian 内存碎片
'nei'cun'tiao 内存条
'nei'han'lei'xing 内含类型
'nei'han'luo'ji 内含逻辑
'nei'han'shu'ju'ku 内涵数据库
'nei'han'yu'yi'xue 内涵语意学
'nei'he 内核
'nei'he'cheng'xu 内核程序
'nei'he'dui'xiang 内核对象
'nei'he'fu'wu 内核服务
'nei'he'jin'cheng 内核进程
'nei'he'ma 内核码
'nei'he'mo'kuai 内核模块
'nei'he'shu'ju'jie'gou 内核数据结构
'nei'he'yuan'yu 内核原语
'nei'he'yu'yan 内核语言
'nei'he'zhan 内核栈
'nei'huan 内环
'nei'jian'han'shu 内建函数
'nei'jian'zi'ce'shi 内建自测试
'nei'ju 内聚
'nei'ju'xing 内聚性
'nei'lian'wang 内联网
'nei'lian'wang 内连网
'nei'lian'wang'an'quan 内联网安全
'nei'mo'shi 内模式
'nei'pai'xu 内排序
'nei're'zu 内热阻
'nei'rong'guo'lv 内容过滤
'nei'rong'jian'cha 内容检查
'nei'rong'kong'zhi 内容控制
'nei'rong'rao'luan'bao'mi'fa'xi'tong 内容扰乱保密法系统
'nei'rong'xie'shang 内容协商
'nei'tui 内推
'nei'wu'cao'zuo 内务操作
'nei'wu'chu'li'cheng'xu 内务处理程序
'nei'xiang'su 内像素
'nei'zai'gu'zhang 内在故障
'nei'zai'shi'jian 内在事件
'neng'li 能力
'neng'li'biao 能力表
'neng'li'cheng'shu 能力成熟
'neng'xing'xing 能行性
'nian'ti'chu'de 年提出的
'nian'wen'ti 年问题
'nian'zai 年在
'nian'zhe'wei 粘着位
'ni'bian'huan'huan'chong'qi 逆变换缓冲器
'ni'bian'qi 逆变器
'ni'bian'qian 逆变迁
'ni'dai'huan 逆代换
'ni'di'zhi'jie'xi'xie'yi 逆地址解析协议
'ni'he 拟合
'ni'jian'ji'wo'jian 你见即我见
'ni'la'dong'bian'huan 逆拉东变换
'ni'ming 匿名
'ni'ming'deng'lu 匿名登录
'ni'ming'fu'wu'qi 匿名服务器
'ni'ming'nei'bu'lei 匿名内部类
'ni'ming'wen'jian'chuan'song'xie'yi 匿名文件传送协议
'ni'ming'xing 匿名性
'ni'ming'yong'hu'pei'zhi'wen'jian 匿名用户配置文件
'ni'ming'zhuan'zhang 匿名转账
'ning'jie'xing'nian'zhuo'xing 凝结性粘着性
'ning'ju 凝聚
'ning'yi'fan'du 凝逸反毒
'ni'sheng'gou'ci 逆生构词
'ni'shi'zhen'du 逆时针度
'ni'tong'tai 逆同态
'niu'jin'da'xue 牛津大学
'ni'wang 逆网
'ni'wan'quan'hun'xi 逆完全混洗
'ni'xiang'di'zhi'jie'xi'xie'yi 逆向地址解析协议
'ni'xiang'gong'cheng 逆向工程
'ni'xiang'shan'lue 逆向删略
'ni'ying'she 逆映射
'ni'yi'zhi 逆抑制
'nuo'dun 诺顿
'nuo'er'xing'shi 诺尔形式
'nuo'ya'xiao'ying 诺亚效应
'nuo'yi'man 诺依曼
'nuo'yi'man'jie'gou 诺依曼结构
'ou'fa'gu'zhang 偶发故障
'ou'he 耦合
'ou'he'chuan'shu'xian 耦合传输线
'ou'he'du 耦合度
'ou'he'qi 耦合器
'ou'he'xi'tong 偶合系统
'ou'he'xi'tong 耦合系统
'ou'jian'yan 偶检验
'ou'la'ding'li 欧拉定理
'ou'la'hui'lu 欧拉回路
'ou'la'lu'jing 欧拉路径
'ou'la'tu 欧拉图
'ou'ran'shi'gu 偶然事故
'ou'ran'wei'xie 偶然威胁
'ou'ran'zhong'duan 偶然中断
'ou'shi'ju'li 欧氏距离
'ou'shu'chang 偶数场
'ou'shu'sao'miao 偶数扫描
'pai'cuo 排错
'pai'dui 排队
'pai'dui'biao 排队表
'pai'dui'gui'ze 排队规则
'pai'dui'jin'cheng 排队进程
'pai'dui'mo'xing 排队模型
'pai'dui'zhu'ce'qing'qiu 排队注册请求
'pai'lie 排列
'pai'qi 排期
'pai'sheng 派生
'pai'sheng'lei 派生类
'pai'ta'suo 排它锁
'pai'ta'xing'luo'ji 排它性逻辑
'pai'xu 排序
'pai'xu'ce'lue 排序策略
'pai'xu'wang'luo 排序网络
'pan'ding'biao'yu'yan 判定表语言
'pan'ding'fu'hao 判定符号
'pan'ding'luo'ji 判定逻辑
'pan'ding'shi'yong 判定使用
'pan'duan 判断
'pan'duan'shei'ying 判断谁赢
'pan'duan'sheng'zhe 判断胜者
'pan'duan'xun'huan'shou 判断循环首
'pan'duan'xun'huan'wei 判断循环尾
'pang'lu 旁路
'pang'lu'dian'rong 旁路电容
'pan'pian'zu 盘片组
'pan'qu 盘驱
'pan'qu'dong'qi 盘驱动器
'pao'chu'yi'chang 抛出异常
'pao'guang 抛光
'pao'wang 泡网
'pao'zhi 跑纸
'pa'shan'fa 爬山法
'pei'bo'na'qi'li'fang'ti 裴波那契立方体
'pei'jia 配价
'pei'jie'qi 配接器
'pei'te'li'wang 佩特里网
'pei'xian 配线
'pei'xian'jia 配线架
'pei'xun 培训
'pei'xun'shi'jian 培训时间
'pei'zhi 配置
'pei'zhi'biao'zhi 配置标识
'pei'zhi'guan'li 配置管理
'pei'zhi'jian'bie 配置鉴别
'pei'zhi'ji'zhang 配置记帐
'pei'zhi'kong'zhi 配置控制
'pei'zhi'kong'zhi'wei'yuan'hui 配置控制委员会
'pei'zhi'qi 配置器
'pei'zhi'shen'he 配置审核
'pei'zhi'shen'ji 配置审计
'pei'zhi'wen'jian 配置文件
'pei'zhi'xiang 配置项
'pei'zhi'zhuang'tai 配置状态
'pei'zhi'zhuang'tai'bao'gao 配置状态报告
'peng'zhang 膨胀
'peng'zhuang 碰撞
'peng'zhuang'jian'ce 碰撞检测
'peng'zhuang'qiang'zhi 碰撞强制
'peng'zhuang'tan'ce 碰撞探测
'pen'mo'hui'tu'ji 喷墨绘图机
'pen'mo'yin'shua'ji 喷墨印刷机
'pen'quan'mo'xing 喷泉模型
'pen'se'xian'tiao 喷色线条
'pian'cha'kong'zhi 偏差控制
'pian'diao 偏调
'pian'duan 片段
'pian'duan 片断
'pian'pang 偏旁
'pian'xu 偏序
'pian'xuan 片选
'pian'yi'ci'dao 偏移磁道
'pian'yi'dian'ya 偏移电压
'pian'yi'liang 偏移量
'pian'zhang 篇章
