'a'da'zhong'lang'xi'you'yu 阿大中郎喜有馀
'guan'xi'zi'yi'ju 盥洒自挹掬
'guan'ye'qing'guang'zhu 纶掖清光注
'guan'yi'bu'shi'xu 观仪不失序
'guan'ying'la'mei'hua 管应落梅花
'guan'ying'lao'bing'xiu 官应老病休
'guan'ying'zi'jie'fei'cang'lang 冠缨自洁非沧浪
'guan'yin'kai'fu'yi'ren'hu 观音岂复异人乎
'guan'yin'lao'bing'xiu 官因老病休
'guan'yin'miao'zhi'li 观音妙智力
'guan'yi'yu'han'long 官仪与汉隆
'guan'yong 关咏
'guan'yong'tong'pan'yan'xing'ni 官饔同盘厌腥腻
'guan'you'er 关右儿
'guan'you'tu'su'huang'shi'jiu 关右土酥黄似酒
'guan'yuan'bian'xing'ming 灌园变姓名
'guan'yuan'chen'yi'qi'suo'zhu 观远臣以其所主
'guan'yuan'he'qi'bi 灌园何其鄙
'guan'yuan'yi'he'wei 灌园亦何为
'guan'yu'bing'ji'lao'zhuang'zhou 观鱼并记老庄周
'guan'yu'da'hai 观于大海
'guan'yu'dai'xue'chun 关榆带雪春
'guan'yu'da'shan 观于大山
'guan'yu'de'yi'hai'zhi'le 观鱼得意还知乐
'guan'yue'gai'jiu'zhao 馆月改旧照
'guan'yue'jing'ru'he 关月竟如何
'guan'yue'leng'xiang'sui 关月冷相随
'guan'yue'miao'nan'yi 关月眇难依
'guan'yue'you'cai'yuan'bu'tian 管乐有才原不忝
'guan'yu'ke'feng'zhen'zhu'fang 鳏鱼渴凤真珠房
'guan'yu'le'he'zai 观鱼乐何在
'guan'yu'li'nong'zi 冠玉丽秾姿
'gu'an'yun'sha'yi'hen 古岸云沙遗恨
'guan'yun'wei'jin'san 关云未尽散
'guan'yu'sheng'guo'fu'chun'jiang 观鱼胜过富春江
'guan'yu'su'er'jing 馆宇肃而静
'guan'yu'tian'di'zhi'wei'ye 观于天地之谓也
'guan'yu'xian'ri'yue 官馀闲日月
'guan'yu'xian'sheng'wei'jiu'ban 惯与先生为酒伴
'guan'yu'zhuo'shui'er'mi'yu'qing'yuan 观于浊水而迷于清渊
'guan'zhang'wu'ming'yu'he'ru 关张无命欲何如
'guan'zhang'xing'jian'han 官长幸见函
'guan'zhe'dan'duo'yu'fang'ha 观者胆堕予方咍
'guan'zhe'geng'wei'su 观者颈为缩
'guan'zhe'ni'kua'man 观者疑夸谩
'gu'an'zhen'tui'bo 孤岸镇颓波
'guan'zhe'ru'shan'se'ju'sang 观者如山色沮丧
'guan'zhe'ru'shi 观者如市
'guan'zhe'wu'liu'ren 冠者五六人
'guan'zhi'dao'yu'hun 矜智道逾昏
'guan'zhi'li'bu'shang'shu 官至礼部尚书
'guan'zhi'zhi'er'shen'yu'xing 官知止而神欲行
'guan'zhong'bu'si 管仲不死
'guan'zhong'dei'jun'ru'bi'ji'zhuan'ye 管仲得君如彼其专也
'guan'zhong'fei'ren'zhe'yu 管仲非仁者与
'guan'zhong'fu'lao'bai'ling'ru 关中父老百领襦
'guan'zhong'jian'hu 管仲俭乎
'guan'zhong'jiu'ge'zhu'hou 管仲九合诸侯
'guan'zhong'ju'you'bu'ke'shao 管仲且犹不可召
'guan'zhong'kui'bao 管中窥豹
'guan'zhong'xiang'huan'gong 管仲相桓公
'guan'zhong'xiao'qiu'chen 管仲小囚臣
'guan'zhong'xi'sang'luan 关中昔丧乱
'guan'zhong'yi'qi'jun'ba 管仲以其君霸
'guan'zhong'you'bing 管仲有病
'guan'zhong'zhi'li'ye 管仲之力也
'guan'zhong'zhi'qi'xiao'zai 管仲之器小哉
'guan'zhong'zi'qi'ying 关中紫气迎
'guan'zhuang'shi'jing'zhong 观妆视镜中
'guan'zhu'guan'shan'guan'shui 管竹管山管水
'guan'zhu'zhe'lu'cheng 官筑遮虏城
'guan'zi'dao'nu'lin 官自倒帑廪
'guan'zuo'zi'you'cheng 官作自有程
'gua'piao'yu'yin'shun 挂瓢余隐舜
'gua'qi'wei'yi'cu 瓜期未易促
'gua'qi'xi'chuang'lang'jie'tian 挂起西窗浪接天
'gua'ren'chi'zhi 寡人耻之
'gua'ren'chou'hu 寡人丑乎
'gua'ren'du'shu 寡人读书
'gua'ren'fei'neng'hao'xian'wang'zhi'le'ye 寡人非能好先王之乐也
'gua'ren'hao'huo 寡人好货
'gua'ren'hao'se 寡人好色
'gua'ren'hao'yong 寡人好勇
'gua'ren'jiang'jia'da'zhu'yu'zi 寡人将加大诛于子
'gua'ren'ru'jiu'jian'zhe'ye 寡人如就见者也
'gua'ren'shao'er'guan'zhi 寡人召而观之
'gua'ren'wu'fu'yu'yan 寡人无复与焉
'gua'ren'xu'yan'ruo'you'wang'ye 寡人恤焉若有亡也
'gua'ren'you'ji 寡人有疾
'gua'ren'yuan'an'cheng'jiao 寡人愿安承教
'gua'ren'yuan'wen'zhi 寡人愿闻之
'gua'ren'zhi'min'bu'jia'duo 寡人之民不加多
'gua'ren'zhi'wu'guo'ye 寡人之於国也
'gua'ren'zhi'you 寡人之囿
'gua'ren'zhi'yu'guo'ye 寡人之于国也
'gua'shi'du'wei'hai 瓜时独未还
'gua'shou'zi'li'li 瓜熟子离离
'gua'tian'bu'na'lv 瓜田不纳履
'gua'tian'yu'man'you'huang'long 瓜田余蔓有荒陇
'gua'xi'ji'qian'li 挂席几千里
'gua'xi'mei'an'dong'hui'shui 挂席每谙东汇水
'gua'yan'di'hu'ying'e'mei 挂檐低户映蛾眉
'gua'ying'kai'dan'su 挂缨岂惮宿
'gua'yu'guan'yu'xi'yang 挂余冠于夕阳
'gua'zai'dong'nan'lou'ge'qian 挂在东南楼阁前
'gua'zai'xie'yang'shu 挂在斜阳树
'gua'zhou'ceng'yi 瓜洲曾舣
'gua'zhou'xiang'wang'ge'shan'jiao 瓜洲相望隔山椒
'gua'zhu'zhi'zhi 寡助之至
'gu'bai'hang 古柏行
'gu'bai'qin'shou'chong 古柏亲手种
'gu'bai'wen'weng'ting 古柏文翁庭
'gu'bai'yin'zhong'kan'can'mao 古柏阴中看参昴
'gu'ba'jin'bei'nao 故把金杯恼
'gu'bei'cao'quan'xi 谷北草全稀
'gu'bei'mai'bu'lan 古碑埋不烂
'gu'bian'cong'xi'lai 古汴従西来
'gu'bi'an'zhong'bu'ke'de'da'ye 故彼岸终不可得达也
'gu'bi'cai'qiu'jin'tie'wei 古壁彩虬金帖尾
'gu'bi'dan'qing'se 古壁丹青色
'gu'bie 故别
'gu'bi'wo'xian'ke'chui'ti 古壁蜗涎可垂涕
'gu'bi'xian'ren'hua 古壁仙人画
'gu'bi'ye'seng'lin 孤壁野僧邻
'gu'bi'you'dan'qing 古壁有丹青
'gu'bu'chu'lan'gui 顾步出兰闺
'gu'bu'dai'wu 固不待物
'gu'bu'deng'gao'shan 故不登高山
'gu'bu'ji'kui'bu 故不积跬步
'gu'bu'ji'zhi 固不及质
'gu'bu'ke'de'er 故不可得而
'gu'bu'ke'de'er'qin 故不可得而亲
'gu'bu'ke'geng'qie'wei'ye 固不可耕且为也
'gu'bu'ke'sheng'shi'ye 谷不可胜食也
'gu'bu'lao'er'ba 故不劳而霸
'gu'bu'lao'er'wang 故不劳而王
'gu'bu'mian'ye 故不免也
'gu'bu'ru'ye 固不如也
'gu'bu'san'chun'wan 顾步三春晚
'gu'bu'shou'ye 故不受也
'gu'bu'wei'xuan'mian'si'zhi 故不为轩冕肆志
'gu'bu'wei'ye 故不为也
'gu'bu'yi'xiang'shi 顾步已相失
'gu'bu'zhi'zi'yi 固不知子矣
'gu'bu'zhong 骨不重
'gu'bu'zhong'qi'tian'nian'er'zhong'dao'yao 故不终其天年而中道夭
'gu'bu'zhu'chun'guang 顾步伫春光
'gu'bu'zu'yi'hua'he 故不足以滑和
'gu'can'nei'zheng'yi'tao'tang 顾惭内政翊陶唐
'gu'ceng 贾曾
'gu'cha'fang'chan'zu 古刹访禅祖
'gu'chang'chao 贾昌朝
'gu'chang'gan'yu'er'yi 故常干浴而已
'gu'chang'qing'qian'sheng 顾常轻千乘
'gu'chang'shi'lun'zhi 故尝试论之
'gu'chao'yang 顾朝阳
'gu'cha'tian'wai'la 古槎天外落
'gu'cha'tian'wai'yi 古槎天外倚
'gu'chen'fan'jiu'geng 孤臣返旧耕
'gu'cheng'bang 古城旁
'gu'cheng'bao'da'jiang 孤城抱大江
'gu'cheng'bei'ling'han'chui'jiao 孤城背岭寒吹角
'gu'cheng'bu'jian'tian'lin'wu 孤城不见天霖雾
'gu'cheng'chui'jiao'yan'shu'li 孤城吹角烟树里
'gu'cheng'ci'ri'chang'kan'duan 孤城此日肠堪断
'gu'cheng'dang'la'hui 孤城当落晖
'gu'cheng'gong'sun'nai'ruo'ci 谷城公孙能若此
'gu'cheng'han'ri'deng'xian'xie 孤城寒日等闲斜
'gu'cheng'han'yun'qi 孤城寒云起
'gu'cheng'hua'jiao 孤城画角
'gu'cheng'hui'wang'cang'yan'he 孤城回望苍烟合
'gu'cheng'lan'jiao 孤城阑角
'gu'cheng'lin'chu'sai 孤城临楚塞
'gu'cheng'luo'ri'dou'bing'xi 孤城落日斗兵稀
'gu'cheng'mu'jiao 孤城暮角
'gu'cheng'sai'yun'qi 孤城塞云起
'gu'cheng'san'ri'feng'chui'yu 孤城三日风吹雨
'gu'cheng'shan'gu'jian 孤城山谷间
'gu'cheng'shui'ying'bang 孤城水影傍
'gu'cheng'wei'jun'le 古称为郡乐
'gu'cheng'xiang'han'liu 孤城象汉刘
'gu'cheng'yan'gu'pi 孤城严鼓鼙
'gu'cheng'yao'wang'yan'men'guan 孤城遥望雁门关
'gu'cheng'yao'wang'yu'men'guan 孤城遥望玉门关
'gu'cheng'ye'shui 古城野水
'gu'cheng'yin 古城阴
'gu'cheng'yuan'bao'si 古称怨报死
'gu'chen'meng'en'yi'san'ming 孤臣蒙恩已三命
'gu'chen'nan'you'duo'huang'jian 孤臣南游堕黄菅
'gu'chen'ren'lei'gan'chang'tong 孤臣忍泪肝肠痛
'gu'chen'ru'men'ti'zi'pang 孤臣入门涕自滂
'gu'chen'shuang'fa'san'qian'zhang 孤臣霜发三千丈
'gu'chen'xing'ming'ji'he'xiang 孤臣性命寄何乡
'gu'chen'zhu'wei'kan 孤臣逐未堪
'gu'chi 贾驰
'gu'chi'er'wu'yu'fu'zi 故持二物与夫子
'gu'chi'ming'wan'jiao'she'ben 故持茗椀浇舌本
'gu'chi'tao'liang'shang'niu'jiao 鼓翅跳踉上牛角
'gu'chi'xiang'fan'he'hua'bai 古池香泛荷花白
'gu'chi'zuo'you'yue 顾叱左右曰
'gu'chuan'ting'shu'zuo'fei'hua 故穿庭树作飞花
'gu'chu'er'bu'fan 故出而不反
'gu'chui'wei'rong'ying'wu'ma 鼓吹未容迎五马
'gu'chui'wei'yi'di 鼓吹威夷狄
'gu'chui'xuan'jiang'yu'bu'kai 鼓吹喧江雨不开
'gu'chui'yi'he'cao'cao 鼓吹一何嘈嘈
'gu'chui'ying'fei'gai 鼓吹迎飞盖
'gu'chun'pu'bu'can 故纯朴不残
'gu'chu'qun'feng'shou 孤出群峰首
'gu'ci'chen'man 古词尘满
'gu'ci'ding'zhi'wu'wang'che 顾此定知毋枉尺
'gu'ci'gao'shu'liang'mang'ran 古祠高树两茫然
'gu'ci'geng'geng'cun 顾此耿耿存
'gu'ci'jie'duo'pian'pang'zhi'zhi'dao 故此皆多骈旁枝之道
'gu'ci'jin'yue'chan'gui'han 古祠近月蟾桂寒
'gu'ci'shen'dian 古祠深殿
'gu'ci'shuo'zi'zhe 故此数子者
'gu'cong'er'zheng'zhi 故从而征之
'gu'cong'jun'xing 古从军行
'gu'cong'shi'yu'dao'zhe 故从事于道者
'gu'cui'ge'song 鼓催歌送
'gu'cui'yu'ting'ting 孤翠郁亭亭
'gu'cun'wei'yu'zhu'qiu'liang 孤村微雨逐秋凉
'gu'cun'yan'huo'fan'wang'jia 孤村烟火梵王家
'gu'cun'yi'quan'fei 孤村一犬吠
'gu'da'bang'yi'xia'xiao'bang 故大邦以下小邦
'gu'dai'cheng'yin'xie'xia'lai 故待成阴叶下来
'gu'dai'wang'shi'xun'yu 故大王事獯鬻
'gu'dan'dang'yin'shu 孤石当阴术
'gu'dang'jie'yi'shen 故当结以信
'gu'dang'meng'xiong'pi 固当梦熊罴
'gu'dan'mai'cang'tai 古石埋苍苔
'gu'dan'yi'xin'tai 古石衣新苔
'gu'dao'chen'ai'fan 故道尘埃翻
'gu'dao'diao'qu'zhong'fan'shuang'diao 故道调曲中犯双调
'gu'dao'lian'mian'zou'xi'jing 古道连绵走西京
'gu'dao'sheng'zhi 故道生之
'gu'dao'song'hua'kong'cui'xiang 古道松花空翠香
'gu'dao'tu'gou'shao'shi'shi 鼓刀屠狗少时事
'gu'dao'xi'feng'shou'ma 古道西风瘦马
'gu'dao'xi'feng'shou'ma'xi'yang'xi'xia 古道西风瘦马夕阳西下
'gu'dao'yin'mie'chuang'yi'cun 故道堙灭疮痍存
'gu'dao'zhao'yan'se 古道照颜色
'gu'da'zhi'bu'ge 故大智不割
'gu'de'er'bu'xi 故得而不喜
'gu'de'jiao'gui'yan 故德交归焉
'gu'deng'bu'ming'sai'yu'jue 孤灯不明思欲绝
'gu'deng'geng'bu'mie 孤灯耿不灭
'gu'deng'geng'geng'zheng'fu'lao 孤灯耿耿征妇劳
'gu'deng'han'zhao'yu 孤灯寒照雨
'gu'deng'he'shi'du'cheng'hua 孤灯何事独成花
'gu'deng'ran'ke'meng 孤灯燃客梦
'gu'deng'ran'ke'meng 孤灯然客梦
'gu'deng'tiao'jin'wei'cheng'mian 孤灯挑尽未成眠
'gu'deng'tong'ye'chan 孤灯同夜禅
'gu'deng'wei'mie'meng'nan'cheng 孤灯未灭梦难成
'gu'deng'wen'chu'jiao 孤灯闻楚角
'gu'deng'xiang'ying 孤灯相映
'gu'deng'xue'hou'qing 孤灯雪后青
'gu'deng'zhao'ying'ye'man'man 孤灯照影夜漫漫
'gu'deng'zuo'che'ming 孤灯坐彻明
'gu'de'yi'yi 谷得一以
'gu'de'yi'yi'sheng 谷得一以生
'gu'de'you'can'xu'fei 顾德有惭虚菲
'gu'de'you'suo'chang'er'xing'you'suo'wang 故德有所长而形有所忘
'gu'de'zong'hu'dao'zhi'suo'yi 故德总乎道之所一
'gu'dian'chao'zhen'ju'xiu'xiang 古殿朝真屦袖香
'gu'dian'hong'deng'xue'li'kan 故点红灯雪里看
'gu'dian'ming'hu'fu'gui'zhi'di 固颠冥乎富贵之地
'gu'diao'sui'zi'ai 古调虽自爱
'gu'diao'xiao 古调笑
'gu'di'fang'ru'po 鼓笛方入破
'gu'di'man 鼓笛慢
'gu'ding'yue'shui'long'teng'suo 古鼎跃水龙腾梭
'gu'ding'zha'xiu'song 孤顶乍修耸
'gu'di'shi'ren'jie 故地使人嗟
'gu'di'wang'sheng'ren'xiu'yan 故帝王圣人休焉
'gu'di'zhi'xin'yong 顾敌知心勇
'gu'dong'cheng'tou'ti'mu'ya 鼓动城头啼暮鸦
'gu'dong'shen'chen'bai'zhou'jian 古洞深沉白昼间
'gu'dou'bang'chang'cheng 古窦傍长城
'gu'dou'feng'jing'fan'hua'di 故都风景繁华地
'gu'dou'hun'yi'san 骨都魂已散
'gu'dou'mi'an'cao 故都迷岸草
'gu'duo'neng'bi'shi 故多能鄙事
'gu'duo'xian'da'fu 古多贤大夫
'gu'du'wu'ding'zhuang 孤独无丁壮
'gu'du'yi'xiang'chun 孤独异乡春
'gu'du'yi'yi'an 顾独遗以安
'gu'er'jin'yu'fei 固而近于费
'gu'er'qu'ci'qin 孤儿去慈亲
'gu'fa'jia'yu'qian'mian'xue 鼓发嘉鱼千面雪
'gu'fa'mou'chen'yong 顾乏谋臣用
'gu'fa'nan'hu'zha 鼓发南湖溠
'gu'fan'chun'geng'yi'gong'can 菰饭莼羹亦共餐
'gu'fan'chu'wu'zhong 孤帆出雾中
'gu'fan'fen'ju'gui 故烦分巨跪
'gu'fang'bu'zi'shang 孤芳不自赏
'gu'fang'lou'qun'yan 孤芳陋群妍
'gu'fang'lu'yin'chun'wan'hui 故放绿阴春晚回
'gu'fang'niao'lian'pian 孤舫鸟联翩
'gu'fang'shu'ru'yu'he 鼓方叔入于河
'gu'fang'wan 孤芳晚
'gu'fang'yi'shi 孤芳一世
'gu'fang'zhuo'huang'hui 孤芳擢荒秽
'gu'fan'miao'bu'ji 孤帆淼不系
'gu'fan'ming'mie 孤帆明灭
'gu'fan'nan'qu'ru'fei'niao 孤帆南去如飞鸟
'gu'fan'niu'er'niu'fei 故饭牛而牛肥
'gu'fan'shen'rong'yang 孤帆信溶漾
'gu'fan'tian'ji'kan 孤帆天际看
'gu'fan'xiang'bei'zhou 孤帆向北洲
'gu'fan'ye'fa'man'xiang'zhu 孤帆夜发满湘渚
'gu'fan'yi'pian'ri'bian'lai 孤帆一片日边来
'gu'fan'yuan'ying'bi'kong'jin 孤帆远影碧空尽
'gu'fa'qian'xun'yu 故发前旬雨
'gu'fa'shu'yu'song 故伐树于宋
'gu'fa'yan'yue 故法言曰
'gu'fei'ai'shi'yun 孤飞暧似云
'gu'fei'bi'shi'weng 顾非避世翁
'gu'fei'qian'li'cong'ci'shi 鹄飞千里从此始
'gu'fei'xian'chi'zou 顾非咸池奏
'gu'fei'xiong 顾非熊
'gu'fei'yi'pian'xue 孤飞一片雪
'gu'fei'you'zhi'zhe'bu'neng'zhi'ye 故非有志者不能至也
'gu'fei'zi'ke'ni 孤飞自可疑
'gu'fen 孤愤
'gu'fen'ci'lu'bang 孤坟此路傍
'gu'fen'du'kui'ran 孤坟独岿然
'gu'feng 鼓峰
'gu'fen'gan'chang'you 孤愤甘长幽
'gu'feng'ban'yi'tian 孤峰半倚天
'gu'feng'jian 古风间
'gu'feng'jing'bu'zhi 孤凤竟不至
'gu'feng'jin'lu'ting'shi'shi 故奉金炉听时事
'gu'feng'ji'ru'he 孤凤其如何
'gu'feng'jiu'diao'ling 古风久凋零
'gu'fen'gong'sang'chu 孤坟拱桑樗
'gu'feng'sui'shi'bian 古风随世变
'gu'feng'xiao'suo'bu'yan'gui 古风萧索不言归
'gu'feng'xiao'xiao'bi'zhui'huan 古风萧萧笔追还
'gu'feng'ying'xian'zhi 姑峰映仙质
'gu'feng'zhi'xun'ti 古风致逊悌
'gu'feng'zhong'liu'fen'jiang'nan 孤峰中流分江南
'gu'fen'lao'la'ju'ci'shan 孤坟牢落具茨山
'gu'fen'she'wu'you 故忿设无由
'gu'fen'xia'yin 孤愤遐吟
'gu'fen'ye'zhe 故分也者
'gu'fen'yue'ming'li 孤坟月明里
'gu'fen'zai'xi'bei 孤坟在西北
'gu'fo'ji'shou'ti 古佛既手提
'gu'fo'lai'bu'wu 古佛来布武
'gu'fo'lin'tao'wan 古佛临涛湾
'gu'fo'tang'qian'gou'niao'tian 古佛堂前狗尿天
'gu'fu 孤负
'gu'fu'ci'sheng'duo'shao 孤负此生多少
'gu'fu'ci'wei'yin 故复此微吟
'gu'fu'dang'nian'lin'xia'yi 孤负当年林下意
'gu'fu'dong'lai'shu'bai'shang 孤负东来数百觞
'gu'fu'er'you 鼓腹而游
'gu'fu'feng'guang'qu'ci'hui 辜负风光取次回
'gu'fu'liao'cheng'xing 鼓腹聊乘兴
'gu'fu'ming'hua'yi'yi'nian 辜负名花已一年
'gu'fu'ping'sheng'yuan 孤负平生愿
'gu'fu'qing'jin 孤负清筋
'gu'fu'que'ye 故弗却也
'gu'fu'san'huang'wu'di'zhi'li'yi'fa'du 故夫三皇五帝之礼义法度
'gu'fu'san'huan'zhi'zi'sun 故夫三桓之子孙
'gu'fu'xiang'qin'shi'zao'chao 辜负香衾事早朝
'gu'fu'yang'er'bu'de'zui'yu'ren 故俯仰而不得罪于人
'gu'fu'yu'gan'er'shi'nian 辜负渔竿二十年
'gu'fu'zhen'qian'yun'yu 孤负枕前云雨
'gu'fu'zhi'si'bei 贾傅至死悲
'gu'fu'zhi'xiao'yi'guan 故夫知效一官
'gu'fu'zi'xu'zheng'zhi 故夫子胥争之
'gu'gao'bu'ke'shi 孤高不可恃
'gu'gao'ji'bai'xun 孤高几百寻
'gu'gao'sheng'si'dong'li 孤高胜似东篱
'gu'gao'song'tian'gong 孤高耸天宫
'gu'ge'jiu'qu'jun'xiu'ting 古歌旧曲君休听
'gu'geng'dao'si'qiong 骨鲠道斯穷
'gu'gen'han'tao'tian 孤根捍滔天
'gu'gen'he'chu'duan 孤根何处断
'gu'gen'lie'shan'shi 孤根裂山石
'gu'gen'nai'du'shou 孤根乃独寿
'gu'gen'nuan'du'hui 孤根暖独回
'gu'gen're'ke'yong 孤根若可用
'gu'gen'shen'wei'lou 孤根信微陋
'gu'gen'wan'zhang'cang'bo'de 孤根万丈沧波底
'gu'gen'yan'jian'fei'ao'shi 孤根偃蹇非傲世
'gu'gen'yi'he'lai 孤根亦何赖
'gu'gen'yin'chang'song 孤根荫长松
'gu'gen'zi'mi'tuo 孤根自靡托
'gu'ge'zhe'bu'wei'pian 故合者不为骈
'gu'gong'an'de'cun 故宫安得存
'gu'gong'gong'dong 鼓宫宫动
'gu'gong'hai'ru'jun 股肱还入郡
'gu'gong'he'shu'qiu'li'li 故宫禾黍秋离离
'gu'gong'liang'zu'yong 股肱良足咏
'gu'gong'shen'jiao'yi 股肱申教义
'gu'gong'wei'fu'bi 股肱惟辅弼
'gu'gong'xian'di'shao 古宫闲地少
'gu'guan'deng'qing 孤馆灯青
'gu'guan'du'ri'ru'nian 孤馆度日如年
'gu'guang'gua'tian'ya 孤光挂天涯
'gu'guang'shui'huan'huan 谷广水涣涣
'gu'guang'wei'shui'lai 孤光为谁来
'gu'guang'yi'dian'ying 孤光一点萤
'gu'guang'zhao'wei'lou 孤光照微陋
'gu'guang'zi'zhao 孤光自照
'gu'guan'meng'hui 孤馆梦回
'gu'guan'qiao'wu'ren 孤馆悄无人
'gu'guan're'zhang'zhui'cou'feng'lou'jian'bian 孤馆热杖缒辏风露渐变
'gu'guan'shuai'cao'bian 故关衰草遍
'gu'guan'yang'liu'chu'fei'xu 故关杨柳初飞絮
'gu'guan'zha'mian 孤馆乍眠
'gu'guan'zheng'yi'lin'lu'duan 古观正依林麓断
'gu'gui'qi'gong'yu'lao'yun 故归其功于姥云
'gu'gui'yi'jian'wei'ben 故贵以贱为本
'gu'gui'yi'shen'wei'tian'xia 故贵以身为天下
'gu'gui'yi'shen'yu'wei'tian'xia 故贵以身于为天下
'gu'gu'jin'bu'er 故古今不二
'gu'guo'bu'kan'hui'shou'yue'ming'zhong 故国不堪回首月明中
'gu'guo'bu'yi'shan'xi'zhi'xian 固国不以山溪之险
'gu'guo'chun'lu 故国莼鲈
'gu'guo'dong'lai'wei'shui'liu 故国东来渭水流
'gu'guo'duo'qiao'mu 故国多乔木
'gu'guo'fei'qiao'mu 故国非乔木
'gu'guo'gui'fan'yin'yin 故国归帆隐隐
'gu'guo'gui'lai'he'shi 故国归来何事
'gu'guo'mei'hua'gui'meng 故国梅花归梦
'gu'guo'meng'chong'gui 故国梦重归
'gu'guo'miao'tian'bei 故国眇天北
'gu'guo'ping'ju'you'suo'si 故国平居有所思
'gu'guo'qian'feng'wai 故国千峰外
'gu'guo'qi'liang'shei'yu'wen 故国凄凉谁与问
'gu'guo'qing'shan'chang'ji'yan 故国青山长极眼
'gu'guo'san'nian'yi'xiao'xi 故国三年一消息
'gu'guo'san'qian'li 故国三千里
'gu'guo'shen'you 故国神游
'gu'guo'shi'ping'kong'you'mu 故国时平空有木
'gu'guo'xie'yang'cao'zi'chun 故国斜阳草自春
'gu'guo'ying'hua'you'shui'zhu 故国莺花又谁主
'gu'guo'yin'shu'jue 故国音书绝
'gu'guo'yi'ran'qiao'mu'zai 故国依然乔木在
'gu'guo'yi'ran'zai 故国依然在
'gu'guo'you'yang'mei 故国有杨梅
'gu'guo'zhu'sheng'yong'yu'meng 故国诸生咏雨蒙
'gu'guo'zi'sun'jin'shang'si 故国子孙今尚死
'gu'gu'zhao'ren 故故招人
'gu'gu'zhi'ren'gui'fu'wu'wei'ye 故古之人贵夫无为也
'gu'gu'zhi'wang'tian'xia'zhe 故古之王天下者
'gu'hai'bu'ci'dong'liu 故海不辞东流
'gu'hai'nei'fu 故海内服
'gu'han'zhi'ai'bu'yu'zeng 骨寒只爱布与缯
'gu'he'gui'qi'nan'ji'nian 孤鹤归期难计年
'gu'he'lai'wei'meng'li'you 孤鹤来为梦里游
'gu'hen'qing'xiang 孤恨清香
'gu'hong'fang'bi'yi 孤鸿方避弋
'gu'hong'hai'shang'lai 孤鸿海上来
'gu'hong'hao'wai'ye 孤鸿号外野
'gu'hong'ji'gao'ju 孤鸿既高举
'gu'hong'mi'lu 顾鸿麋鹿
'gu'hou'gua'zai'you'tui'yuan 故侯瓜在有颓垣
'gu'hou'san'zhuo'shi'yi'duo 顾侯三酌似已多
'gu'hou'yao'ke'chu'cheng'na 顾侯邀客出城南
'gu'hou'zi'you'yi 顾后子由一
'gu'huai'tong'zi'jie 孤怀痛自嗟
'gu'huai'wei'ken'kai 孤怀未肯开
'gu'huan'shang'tai'qing 孤圜上太清
'gu'hua'zuo'yuan'shan'chang 故画作远山长
'gu'hun'chang'zi'jing 孤魂长自惊
'gu'hun'er'wei'yi 故混而为一
'gu'hun'jiu'ke'jian 孤魂久客间
'gu'hun'you'qiong'mu 孤魂游穷暮
'gu'huo'bu'yan'er'yin'ren'yi'he 故或不言而饮人以和
'gui'an'jing'dai'qing'si'long 归鞍竞带青丝笼
'gui'ba'diao'yu'gou 归把钓渔钩
'gui'bai'fa'you'yan 桂白发幽岩
'gui'bang'bi'sha'chuang 归傍碧纱窗
'gui'bang'na'gai'chong'lan'ju 归旁南陔种兰菊
'gui'ban'you'heng'e 归伴有姮娥
'gui'bian'zhao'zhou'yuan 龟辩罩周园
'gui'bi'lan'xiang'qie 圭璧烂箱箧
'gui'bin'ren'shuang 归鬓任霜
'gui'cai'qing'pin'zhi'jiu'cong 鲑菜清贫只韭葱
'gui'cang'liu'yong'zhong'you'guang 龟藏六用中有光
'gui'can'jiang'bie'zhao 归骖将别棹
'gui'can'ru'han'jing 归骖入汉京
'gui'chang'cong'yu'shi'xiang'wei 龟肠从与世相违
'gui'chang'xi'pan'zhi 桂长昔攀枝
'gui'chang'yi'ye'rao'zhong'shan 归肠一夜绕锺山
'gui'chang'yu'li'bu'gan'bao 归尝玉粒不敢饱
'gui'chao'huan 归朝欢
'gui'chen'ba'gui'jia'liu'hu 跪陈八簋加六瑚
'gui'cheng'yao 归程杳
'gui'cheng'ye'fan'ju 归诚谒梵居
'gui'chen'xi'yuan'bing'zhu'you 归趁西园秉烛游
'gui'chuan'cang'cui'yin 归穿苍翠阴
'gui'chu'hai'yan'ning 归处海烟凝
'gui'chu'jiu'ying'chun 归处酒应春
'gui'chu'xian'kan'zhong'bu'yuan 归处仙龛终不远
'gui'chu'you'jian'zi 归处有兼资
'gui'ci'lao'wu'lao 归此老吾老
'gui'cong'hai'shang'ou 归从海上鸥
'gui'cong'huo'huo'fa'xin'quan 贵従活火发新泉
'gui'cong'lao'fu'shou 贵従老夫手
'gui'cong'san'ren'you 归従三人游
'gui'da'huan're'shen 贵大患若身
'gui'dai'ying'chuan'you 归待颍川游
'gui'dan'liu'shuang'gan 跪石留双骭
'gui'dao'yi'chun'wen'chun'shi 归到宜春问春事
'gui'de'er'zhu'zhi 鬼得而诛之
'gui'de'huang'gan'zi'zhe'qiu 归得黄柑紫蔗秋
'gui'de'hua'shi'que'zi'chou 归得花时却自愁
'gui'deng 归登
'gui'deng'ru'qi'dian'song'hua 鬼灯如漆点松花
'gui'dian'chang'chou'bu'ji'chun 桂殿长愁不记春
'gui'dian'hua'kong'luo 桂殿花空落
